Analyzer,Accuracy,Precision,Recall,Fscore
static,0.59,0.59,0.60,0.57
static+nativecalls,0.59,0.59,0.63,0.59
static+nativecalls+closure_compiler,0.57,0.65,0.72,0.67
static+nativecalls+closure_compiler+wala,0.57,0.65,0.72,0.67
static+nativecalls+closure_compiler+wala+npm_cg,0.57,0.65,0.72,0.67
static+nativecalls+closure_compiler+wala+npm_cg+tajs,0.57,0.65,0.72,0.67
static+nativecalls+closure_compiler+wala+npm_cg+tajs+acg,0.57,0.67,0.81,0.72
static+nativecalls+closure_compiler+wala+npm_cg+acg,0.57,0.67,0.81,0.72
static+nativecalls+closure_compiler+wala+tajs,0.57,0.65,0.72,0.67
static+nativecalls+closure_compiler+wala+tajs+acg,0.57,0.67,0.81,0.72
static+nativecalls+closure_compiler+wala+acg,0.57,0.67,0.81,0.72
static+nativecalls+closure_compiler+npm_cg,0.57,0.65,0.72,0.67
static+nativecalls+closure_compiler+npm_cg+tajs,0.57,0.65,0.72,0.67
static+nativecalls+closure_compiler+npm_cg+tajs+acg,0.57,0.67,0.81,0.72
static+nativecalls+closure_compiler+npm_cg+acg,0.57,0.67,0.81,0.72
static+nativecalls+closure_compiler+tajs,0.57,0.65,0.72,0.67
static+nativecalls+closure_compiler+tajs+acg,0.57,0.67,0.81,0.72
static+nativecalls+closure_compiler+acg,0.57,0.67,0.81,0.72
static+nativecalls+wala,0.57,0.62,0.65,0.62
static+nativecalls+wala+npm_cg,0.57,0.62,0.65,0.62
static+nativecalls+wala+npm_cg+tajs,0.57,0.62,0.65,0.62
static+nativecalls+wala+npm_cg+tajs+acg,0.58,0.66,0.78,0.71
static+nativecalls+wala+npm_cg+acg,0.58,0.66,0.78,0.71
static+nativecalls+wala+tajs,0.57,0.62,0.65,0.62
static+nativecalls+wala+tajs+acg,0.58,0.66,0.78,0.71
static+nativecalls+wala+acg,0.58,0.66,0.78,0.71
static+nativecalls+npm_cg,0.57,0.62,0.65,0.62
static+nativecalls+npm_cg+tajs,0.57,0.62,0.65,0.62
static+nativecalls+npm_cg+tajs+acg,0.58,0.66,0.78,0.71
static+nativecalls+npm_cg+acg,0.58,0.66,0.78,0.71
static+nativecalls+tajs,0.57,0.62,0.65,0.62
static+nativecalls+tajs+acg,0.58,0.66,0.78,0.71
