Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,774,384,538,268,390,236,120,0.50129198966408272664,0.49814126394052044011,0.69791666666666662966,0.58134490238611713497
static nativecalls,774,384,538,268,390,236,120,0.50129198966408272664,0.49814126394052044011,0.69791666666666662966,0.58134490238611713497
static nativecalls dynamic,774,384,333,268,390,441,325,0.76614987080103358341,0.80480480480480476313,0.69791666666666662966,0.74755927475592742759
static nativecalls dynamic closure_compiler,774,384,281,229,390,494,338,0.73255813953488368995,0.81494661921708189123,0.59480519480519478126,0.68768768768768773203
static nativecalls dynamic closure_compiler npm_cg,774,384,280,229,390,495,339,0.73385012919896641659,0.81785714285714283811,0.59480519480519478126,0.68872180451127806844
static nativecalls dynamic closure_compiler npm_cg tajs,774,384,280,229,390,495,339,0.73385012919896641659,0.81785714285714283811,0.59480519480519478126,0.68872180451127806844
static nativecalls dynamic closure_compiler npm_cg tajs acg,774,384,224,188,390,551,354,0.70025839793281652312,0.83928571428571430157,0.48831168831168830780,0.61740558292282421426
static nativecalls dynamic closure_compiler npm_cg acg,774,384,224,188,390,551,354,0.70025839793281652312,0.83928571428571430157,0.48831168831168830780,0.61740558292282421426
static nativecalls dynamic closure_compiler tajs,774,384,281,229,390,494,338,0.73255813953488368995,0.81494661921708189123,0.59480519480519478126,0.68768768768768773203
static nativecalls dynamic closure_compiler tajs acg,774,384,225,188,390,550,353,0.69896640826873379648,0.83555555555555560687,0.48831168831168830780,0.61639344262295092669
static nativecalls dynamic closure_compiler acg,774,384,225,188,390,550,353,0.69896640826873379648,0.83555555555555560687,0.48831168831168830780,0.61639344262295092669
static nativecalls dynamic npm_cg,774,384,328,265,390,446,327,0.76485788113695085677,0.80792682926829273438,0.69010416666666662966,0.74438202247191020966
static nativecalls dynamic npm_cg tajs,774,384,328,265,390,446,327,0.76485788113695085677,0.80792682926829273438,0.69010416666666662966,0.74438202247191020966
static nativecalls dynamic npm_cg tajs acg,774,384,242,202,390,532,350,0.71317829457364345647,0.83471074380165288797,0.52604166666666662966,0.64536741214057502525
static nativecalls dynamic npm_cg acg,774,384,242,202,390,532,350,0.71317829457364345647,0.83471074380165288797,0.52604166666666662966,0.64536741214057502525
static nativecalls dynamic tajs,774,384,333,268,390,441,325,0.76614987080103358341,0.80480480480480476313,0.69791666666666662966,0.74755927475592742759
static nativecalls dynamic tajs acg,774,384,244,203,390,530,349,0.71317829457364345647,0.83196721311475407834,0.52864583333333337034,0.64649681528662428232
static nativecalls dynamic acg,774,384,244,203,390,530,349,0.71317829457364345647,0.83196721311475407834,0.52864583333333337034,0.64649681528662428232
static nativecalls closure_compiler,774,384,427,229,390,348,192,0.54392764857881137353,0.53629976580796256957,0.59480519480519478126,0.56403940886699510671
static nativecalls closure_compiler npm_cg,774,384,422,229,390,353,197,0.55038759689922478469,0.54265402843601895366,0.59480519480519478126,0.56753407682775702803
static nativecalls closure_compiler npm_cg tajs,774,384,422,229,390,353,197,0.55038759689922478469,0.54265402843601895366,0.59480519480519478126,0.56753407682775702803
static nativecalls closure_compiler npm_cg tajs acg,774,384,331,188,390,444,247,0.56201550387596899139,0.56797583081571001440,0.48831168831168830780,0.52513966480446927498
static nativecalls closure_compiler npm_cg acg,774,384,331,188,390,444,247,0.56201550387596899139,0.56797583081571001440,0.48831168831168830780,0.52513966480446927498
static nativecalls closure_compiler tajs,774,384,427,229,390,348,192,0.54392764857881137353,0.53629976580796256957,0.59480519480519478126,0.56403940886699510671
static nativecalls closure_compiler tajs acg,774,384,332,188,390,443,246,0.56072351421188626475,0.56626506024096390224,0.48831168831168830780,0.52440725244072528000
static nativecalls closure_compiler acg,774,384,332,188,390,443,246,0.56072351421188626475,0.56626506024096390224,0.48831168831168830780,0.52440725244072528000
static nativecalls npm_cg,774,384,522,265,390,252,133,0.51421188630490954896,0.50766283524904209923,0.69010416666666662966,0.58498896247240617097
static nativecalls npm_cg tajs,774,384,522,265,390,252,133,0.51421188630490954896,0.50766283524904209923,0.69010416666666662966,0.58498896247240617097
static nativecalls npm_cg tajs acg,774,384,361,202,390,413,231,0.55943152454780364913,0.55955678670360109450,0.52604166666666662966,0.54228187919463088917
static nativecalls npm_cg acg,774,384,361,202,390,413,231,0.55943152454780364913,0.55955678670360109450,0.52604166666666662966,0.54228187919463088917
static nativecalls tajs,774,384,538,268,390,236,120,0.50129198966408272664,0.49814126394052044011,0.69791666666666662966,0.58134490238611713497
static nativecalls tajs acg,774,384,365,203,390,409,228,0.55684754521963819585,0.55616438356164388246,0.52864583333333337034,0.54205607476635531139
static nativecalls acg,774,384,365,203,390,409,228,0.55684754521963819585,0.55616438356164388246,0.52864583333333337034,0.54205607476635531139
