Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,472,208,174,106,264,298,196,0.63983050847457623167,0.60919540229885060789,0.50961538461538458122,0.55497382198952882604
static nativecalls,472,208,174,106,264,298,196,0.63983050847457623167,0.60919540229885060789,0.50961538461538458122,0.55497382198952882604
static nativecalls dynamic,472,208,152,106,264,320,218,0.68644067796610164223,0.69736842105263152636,0.50961538461538458122,0.58888888888888890616
static nativecalls dynamic closure_compiler,472,208,119,86,264,354,231,0.67161016949152541056,0.72268907563025208685,0.41148325358851672862,0.52439024390243904605
static nativecalls dynamic closure_compiler npm_cg,472,208,119,86,264,354,231,0.67161016949152541056,0.72268907563025208685,0.41148325358851672862,0.52439024390243904605
static nativecalls dynamic closure_compiler npm_cg tajs,472,208,119,86,264,354,231,0.67161016949152541056,0.72268907563025208685,0.41148325358851672862,0.52439024390243904605
static nativecalls dynamic closure_compiler npm_cg tajs acg,472,208,73,57,264,400,248,0.64618644067796615627,0.78082191780821919025,0.27272727272727270709,0.40425531914893614305
static nativecalls dynamic closure_compiler npm_cg acg,472,208,73,57,264,400,248,0.64618644067796615627,0.78082191780821919025,0.27272727272727270709,0.40425531914893614305
static nativecalls dynamic closure_compiler tajs,472,208,119,86,264,354,231,0.67161016949152541056,0.72268907563025208685,0.41148325358851672862,0.52439024390243904605
static nativecalls dynamic closure_compiler tajs acg,472,208,73,57,264,400,248,0.64618644067796615627,0.78082191780821919025,0.27272727272727270709,0.40425531914893614305
static nativecalls dynamic closure_compiler acg,472,208,73,57,264,400,248,0.64618644067796615627,0.78082191780821919025,0.27272727272727270709,0.40425531914893614305
static nativecalls dynamic npm_cg,472,208,151,106,264,321,219,0.68855932203389835777,0.70198675496688744957,0.50961538461538458122,0.59052924791086347511
static nativecalls dynamic npm_cg tajs,472,208,151,106,264,321,219,0.68855932203389835777,0.70198675496688744957,0.50961538461538458122,0.59052924791086347511
static nativecalls dynamic npm_cg tajs acg,472,208,90,67,264,382,241,0.65254237288135596984,0.74444444444444446418,0.32211538461538463674,0.44966442953020135942
static nativecalls dynamic npm_cg acg,472,208,90,67,264,382,241,0.65254237288135596984,0.74444444444444446418,0.32211538461538463674,0.44966442953020135942
static nativecalls dynamic tajs,472,208,151,106,264,321,219,0.68855932203389835777,0.70198675496688744957,0.50961538461538458122,0.59052924791086347511
static nativecalls dynamic tajs acg,472,208,90,67,264,382,241,0.65254237288135596984,0.74444444444444446418,0.32211538461538463674,0.44966442953020135942
static nativecalls dynamic acg,472,208,90,67,264,382,241,0.65254237288135596984,0.74444444444444446418,0.32211538461538463674,0.44966442953020135942
static nativecalls closure_compiler,472,208,138,86,264,335,212,0.63135593220338981357,0.62318840579710144123,0.41148325358851672862,0.49567723342939479236
static nativecalls closure_compiler npm_cg,472,208,138,86,264,335,212,0.63135593220338981357,0.62318840579710144123,0.41148325358851672862,0.49567723342939479236
static nativecalls closure_compiler npm_cg tajs,472,208,138,86,264,335,212,0.63135593220338981357,0.62318840579710144123,0.41148325358851672862,0.49567723342939479236
static nativecalls closure_compiler npm_cg tajs acg,472,208,82,57,264,391,239,0.62711864406779660452,0.69512195121951214638,0.27272727272727270709,0.39175257731958756935
static nativecalls closure_compiler npm_cg acg,472,208,82,57,264,391,239,0.62711864406779660452,0.69512195121951214638,0.27272727272727270709,0.39175257731958756935
static nativecalls closure_compiler tajs,472,208,138,86,264,335,212,0.63135593220338981357,0.62318840579710144123,0.41148325358851672862,0.49567723342939479236
static nativecalls closure_compiler tajs acg,472,208,82,57,264,391,239,0.62711864406779660452,0.69512195121951214638,0.27272727272727270709,0.39175257731958756935
static nativecalls closure_compiler acg,472,208,82,57,264,391,239,0.62711864406779660452,0.69512195121951214638,0.27272727272727270709,0.39175257731958756935
static nativecalls npm_cg,472,208,173,106,264,299,197,0.64194915254237283619,0.61271676300578037377,0.50961538461538458122,0.55643044619422576957
static nativecalls npm_cg tajs,472,208,173,106,264,299,197,0.64194915254237283619,0.61271676300578037377,0.50961538461538458122,0.55643044619422576957
static nativecalls npm_cg tajs acg,472,208,101,67,264,371,230,0.62923728813559320905,0.66336633663366340041,0.32211538461538463674,0.43365695792880254444
static nativecalls npm_cg acg,472,208,101,67,264,371,230,0.62923728813559320905,0.66336633663366340041,0.32211538461538463674,0.43365695792880254444
static nativecalls tajs,472,208,173,106,264,299,197,0.64194915254237283619,0.61271676300578037377,0.50961538461538458122,0.55643044619422576957
static nativecalls tajs acg,472,208,101,67,264,371,230,0.62923728813559320905,0.66336633663366340041,0.32211538461538463674,0.43365695792880254444
static nativecalls acg,472,208,101,67,264,371,230,0.62923728813559320905,0.66336633663366340041,0.32211538461538463674,0.43365695792880254444
static dynamic,472,208,152,106,264,320,218,0.68644067796610164223,0.69736842105263152636,0.50961538461538458122,0.58888888888888890616
static dynamic closure_compiler,472,208,119,86,264,354,231,0.67161016949152541056,0.72268907563025208685,0.41148325358851672862,0.52439024390243904605
static dynamic closure_compiler npm_cg,472,208,119,86,264,354,231,0.67161016949152541056,0.72268907563025208685,0.41148325358851672862,0.52439024390243904605
static dynamic closure_compiler npm_cg tajs,472,208,119,86,264,354,231,0.67161016949152541056,0.72268907563025208685,0.41148325358851672862,0.52439024390243904605
static dynamic closure_compiler npm_cg tajs acg,472,208,73,57,264,400,248,0.64618644067796615627,0.78082191780821919025,0.27272727272727270709,0.40425531914893614305
static dynamic closure_compiler npm_cg acg,472,208,73,57,264,400,248,0.64618644067796615627,0.78082191780821919025,0.27272727272727270709,0.40425531914893614305
static dynamic closure_compiler tajs,472,208,119,86,264,354,231,0.67161016949152541056,0.72268907563025208685,0.41148325358851672862,0.52439024390243904605
static dynamic closure_compiler tajs acg,472,208,73,57,264,400,248,0.64618644067796615627,0.78082191780821919025,0.27272727272727270709,0.40425531914893614305
static dynamic closure_compiler acg,472,208,73,57,264,400,248,0.64618644067796615627,0.78082191780821919025,0.27272727272727270709,0.40425531914893614305
static dynamic npm_cg,472,208,151,106,264,321,219,0.68855932203389835777,0.70198675496688744957,0.50961538461538458122,0.59052924791086347511
static dynamic npm_cg tajs,472,208,151,106,264,321,219,0.68855932203389835777,0.70198675496688744957,0.50961538461538458122,0.59052924791086347511
static dynamic npm_cg tajs acg,472,208,90,67,264,382,241,0.65254237288135596984,0.74444444444444446418,0.32211538461538463674,0.44966442953020135942
