Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,357,111,264,102,246,93,84,0.5210,0.3864,0.3415,0.3625
static nativecalls,357,111,263,101,246,94,84,0.5182,0.3840,0.3415,0.3615
static nativecalls closure_compiler,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler wala,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler wala npm_cg,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler wala npm_cg tajs,357,111,225,92,246,134,113,0.5742,0.4089,0.4593,0.4327
static nativecalls closure_compiler wala npm_cg tajs acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
static nativecalls closure_compiler wala npm_cg acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
static nativecalls closure_compiler wala tajs,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler wala tajs acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
static nativecalls closure_compiler wala acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
static nativecalls closure_compiler npm_cg,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler npm_cg tajs,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler npm_cg tajs acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
static nativecalls closure_compiler npm_cg acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
static nativecalls closure_compiler tajs,357,111,226,93,246,133,113,0.5770,0.4115,0.4593,0.4341
static nativecalls closure_compiler tajs acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
static nativecalls closure_compiler acg,357,111,148,57,246,211,155,0.5938,0.3851,0.6301,0.4781
static nativecalls wala,357,111,262,100,246,95,84,0.5154,0.3817,0.3415,0.3605
static nativecalls wala npm_cg,357,111,262,100,246,95,84,0.5154,0.3817,0.3415,0.3605
static nativecalls wala npm_cg tajs,357,111,262,100,246,95,84,0.5154,0.3817,0.3415,0.3605
static nativecalls wala npm_cg tajs acg,357,111,154,58,246,203,150,0.5826,0.3766,0.6098,0.4656
static nativecalls wala npm_cg acg,357,111,155,59,246,202,150,0.5854,0.3806,0.6098,0.4687
static nativecalls wala tajs,357,111,263,101,246,94,84,0.5182,0.3840,0.3415,0.3615
static nativecalls wala tajs acg,357,111,154,58,246,203,150,0.5826,0.3766,0.6098,0.4656
static nativecalls wala acg,357,111,155,59,246,202,150,0.5854,0.3806,0.6098,0.4687
static nativecalls npm_cg,357,111,263,101,246,94,84,0.5182,0.3840,0.3415,0.3615
static nativecalls npm_cg tajs,357,111,263,101,246,94,84,0.5182,0.3840,0.3415,0.3615
static nativecalls npm_cg tajs acg,357,111,155,59,246,202,150,0.5854,0.3806,0.6098,0.4687
static nativecalls npm_cg acg,357,111,155,59,246,202,150,0.5854,0.3806,0.6098,0.4687
static nativecalls tajs,357,111,263,101,246,94,84,0.5182,0.3840,0.3415,0.3615
static nativecalls tajs acg,357,111,155,59,246,202,150,0.5854,0.3806,0.6098,0.4687
static nativecalls acg,357,111,155,59,246,202,150,0.5854,0.3806,0.6098,0.4687
static closure_compiler,357,111,233,96,246,126,109,0.5742,0.4120,0.4431,0.4270
static closure_compiler wala,357,111,233,96,246,126,109,0.5742,0.4120,0.4431,0.4270
static closure_compiler wala npm_cg,357,111,232,95,246,127,109,0.5714,0.4095,0.4431,0.4256
static closure_compiler wala npm_cg tajs,357,111,233,96,246,126,109,0.5742,0.4120,0.4431,0.4270
static closure_compiler wala npm_cg tajs acg,357,111,156,62,246,203,152,0.5994,0.3974,0.6179,0.4837
static closure_compiler wala npm_cg acg,357,111,157,63,246,202,152,0.6022,0.4013,0.6179,0.4866
static closure_compiler wala tajs,357,111,233,96,246,126,109,0.5742,0.4120,0.4431,0.4270
static closure_compiler wala tajs acg,357,111,156,62,246,203,152,0.5994,0.3974,0.6179,0.4837
static closure_compiler wala acg,357,111,156,62,246,203,152,0.5994,0.3974,0.6179,0.4837
static closure_compiler npm_cg,357,111,233,96,246,126,109,0.5742,0.4120,0.4431,0.4270
static closure_compiler npm_cg tajs,357,111,233,96,246,126,109,0.5742,0.4120,0.4431,0.4270
static closure_compiler npm_cg tajs acg,357,111,157,63,246,202,152,0.6022,0.4013,0.6179,0.4866
