Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,950,541,285,217,409,665,341,0.58736842105263153968,0.76140350877192986001,0.40110905730129392532,0.52542372881355936531
static nativecalls,950,541,285,217,409,665,341,0.58736842105263153968,0.76140350877192986001,0.40110905730129392532,0.52542372881355936531
static nativecalls dynamic,950,541,256,217,409,694,370,0.61789473684210527438,0.84765625000000000000,0.40110905730129392532,0.54454203262233380478
static nativecalls dynamic closure_compiler,950,541,233,204,409,718,380,0.61473684210526313709,0.87553648068669531757,0.37638376383763838540,0.52645161290322572967
static nativecalls dynamic closure_compiler npm_cg,950,541,232,203,409,719,380,0.61368421052631583201,0.87500000000000000000,0.37453874538745385303,0.52454780361757102902
static nativecalls dynamic closure_compiler npm_cg tajs,950,541,232,203,409,719,380,0.61368421052631583201,0.87500000000000000000,0.37453874538745385303,0.52454780361757102902
static nativecalls dynamic closure_compiler npm_cg tajs acg,950,541,210,185,409,741,384,0.59894736842105267272,0.88095238095238093123,0.34132841328413282556,0.49202127659574462770
static nativecalls dynamic closure_compiler npm_cg acg,950,541,210,185,409,741,384,0.59894736842105267272,0.88095238095238093123,0.34132841328413282556,0.49202127659574462770
static nativecalls dynamic closure_compiler tajs,950,541,233,204,409,718,380,0.61473684210526313709,0.87553648068669531757,0.37638376383763838540,0.52645161290322572967
static nativecalls dynamic closure_compiler tajs acg,950,541,210,185,409,741,384,0.59894736842105267272,0.88095238095238093123,0.34132841328413282556,0.49202127659574462770
static nativecalls dynamic closure_compiler acg,950,541,210,185,409,741,384,0.59894736842105267272,0.88095238095238093123,0.34132841328413282556,0.49202127659574462770
static nativecalls dynamic npm_cg,950,541,252,215,409,698,372,0.61789473684210527438,0.85317460317460314112,0.39741219963031421125,0.54224464060529631304
static nativecalls dynamic npm_cg tajs,950,541,252,215,409,698,372,0.61789473684210527438,0.85317460317460314112,0.39741219963031421125,0.54224464060529631304
static nativecalls dynamic npm_cg tajs acg,950,541,223,194,409,727,380,0.60421052631578942016,0.86995515695067260342,0.35859519408502771309,0.50785340314136129258
static nativecalls dynamic npm_cg acg,950,541,223,194,409,727,380,0.60421052631578942016,0.86995515695067260342,0.35859519408502771309,0.50785340314136129258
static nativecalls dynamic tajs,950,541,256,217,409,694,370,0.61789473684210527438,0.84765625000000000000,0.40110905730129392532,0.54454203262233380478
static nativecalls dynamic tajs acg,950,541,223,194,409,727,380,0.60421052631578942016,0.86995515695067260342,0.35859519408502771309,0.50785340314136129258
static nativecalls dynamic acg,950,541,223,194,409,727,380,0.60421052631578942016,0.86995515695067260342,0.35859519408502771309,0.50785340314136129258
static nativecalls closure_compiler,950,541,253,204,409,698,360,0.59368421052631581425,0.80632411067193676679,0.37638376383763838540,0.51320754716981131782
static nativecalls closure_compiler npm_cg,950,541,252,203,409,699,360,0.59263157894736839815,0.80555555555555558023,0.37453874538745385303,0.51133501259445846010
static nativecalls closure_compiler npm_cg tajs,950,541,252,203,409,699,360,0.59263157894736839815,0.80555555555555558023,0.37453874538745385303,0.51133501259445846010
