Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static nativecalls,127,39,42,16,88,85,62,0.6142,0.3810,0.7045,0.4945
static nativecalls closure_compiler,127,39,33,14,88,94,69,0.6535,0.4242,0.7841,0.5506
static nativecalls closure_compiler wala,127,39,33,14,88,94,69,0.6535,0.4242,0.7841,0.5506
static nativecalls closure_compiler wala npm_cg,127,39,33,14,88,94,69,0.6535,0.4242,0.7841,0.5506
static nativecalls closure_compiler wala npm_cg tajs,127,39,33,14,88,94,69,0.6535,0.4242,0.7841,0.5506
static nativecalls closure_compiler wala npm_cg tajs acg,127,39,29,12,88,98,71,0.6535,0.4138,0.8068,0.5470
static nativecalls closure_compiler wala npm_cg acg,127,39,29,12,88,98,71,0.6535,0.4138,0.8068,0.5470
static nativecalls closure_compiler wala tajs,127,39,33,14,88,94,69,0.6535,0.4242,0.7841,0.5506
static nativecalls closure_compiler wala tajs acg,127,39,29,12,88,98,71,0.6535,0.4138,0.8068,0.5470
static nativecalls closure_compiler wala acg,127,39,29,12,88,98,71,0.6535,0.4138,0.8068,0.5470
static nativecalls closure_compiler npm_cg,127,39,33,14,88,94,69,0.6535,0.4242,0.7841,0.5506
static nativecalls closure_compiler npm_cg tajs,127,39,33,14,88,94,69,0.6535,0.4242,0.7841,0.5506
static nativecalls closure_compiler npm_cg tajs acg,127,39,29,12,88,98,71,0.6535,0.4138,0.8068,0.5470
static nativecalls closure_compiler npm_cg acg,127,39,29,12,88,98,71,0.6535,0.4138,0.8068,0.5470
static nativecalls closure_compiler tajs,127,39,33,14,88,94,69,0.6535,0.4242,0.7841,0.5506
static nativecalls closure_compiler tajs acg,127,39,29,12,88,98,71,0.6535,0.4138,0.8068,0.5470
static nativecalls closure_compiler acg,127,39,29,12,88,98,71,0.6535,0.4138,0.8068,0.5470
static nativecalls wala,127,39,42,16,88,85,62,0.6142,0.3810,0.7045,0.4945
static nativecalls wala npm_cg,127,39,42,16,88,85,62,0.6142,0.3810,0.7045,0.4945
static nativecalls wala npm_cg tajs,127,39,42,16,88,85,62,0.6142,0.3810,0.7045,0.4945
static nativecalls wala npm_cg tajs acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static nativecalls wala npm_cg acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static nativecalls wala tajs,127,39,42,16,88,85,62,0.6142,0.3810,0.7045,0.4945
static nativecalls wala tajs acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static nativecalls wala acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static nativecalls npm_cg,127,39,42,16,88,85,62,0.6142,0.3810,0.7045,0.4945
static nativecalls npm_cg tajs,127,39,42,16,88,85,62,0.6142,0.3810,0.7045,0.4945
static nativecalls npm_cg tajs acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static nativecalls npm_cg acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static nativecalls tajs,127,39,42,16,88,85,62,0.6142,0.3810,0.7045,0.4945
static nativecalls tajs acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static nativecalls acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static closure_compiler,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler wala,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler wala npm_cg,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler wala npm_cg tajs,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler wala npm_cg tajs acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler wala npm_cg acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler wala tajs,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler wala tajs acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler wala acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler npm_cg,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler npm_cg tajs,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler npm_cg tajs acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler npm_cg acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler tajs,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler tajs acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static wala,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static wala npm_cg,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static wala npm_cg tajs,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static wala npm_cg tajs acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
static wala npm_cg acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
static wala tajs,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static wala tajs acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
static wala acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
static npm_cg,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static npm_cg tajs,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static npm_cg tajs acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
static npm_cg acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
static tajs,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static tajs acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
static acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
nativecalls,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls closure_compiler,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls closure_compiler wala,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls closure_compiler wala npm_cg,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls closure_compiler wala npm_cg tajs,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls closure_compiler wala npm_cg tajs acg,127,39,50,23,88,77,61,0.6614,0.4600,0.6932,0.5530
nativecalls closure_compiler wala npm_cg acg,127,39,50,23,88,77,61,0.6614,0.4600,0.6932,0.5530
nativecalls closure_compiler wala tajs,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls closure_compiler wala tajs acg,127,39,50,23,88,77,61,0.6614,0.4600,0.6932,0.5530
nativecalls closure_compiler wala acg,127,39,50,23,88,77,61,0.6614,0.4600,0.6932,0.5530
nativecalls closure_compiler npm_cg,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls closure_compiler npm_cg tajs,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls closure_compiler npm_cg tajs acg,127,39,50,23,88,77,61,0.6614,0.4600,0.6932,0.5530
nativecalls closure_compiler npm_cg acg,127,39,50,23,88,77,61,0.6614,0.4600,0.6932,0.5530
nativecalls closure_compiler tajs,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls closure_compiler tajs acg,127,39,50,23,88,77,61,0.6614,0.4600,0.6932,0.5530
nativecalls closure_compiler acg,127,39,50,23,88,77,61,0.6614,0.4600,0.6932,0.5530
nativecalls wala,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls wala npm_cg,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls wala npm_cg tajs,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls wala npm_cg tajs acg,127,39,52,24,88,75,60,0.6614,0.4615,0.6818,0.5505
nativecalls wala npm_cg acg,127,39,52,24,88,75,60,0.6614,0.4615,0.6818,0.5505
nativecalls wala tajs,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls wala tajs acg,127,39,52,24,88,75,60,0.6614,0.4615,0.6818,0.5505
nativecalls wala acg,127,39,52,24,88,75,60,0.6614,0.4615,0.6818,0.5505
nativecalls npm_cg,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls npm_cg tajs,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls npm_cg tajs acg,127,39,52,24,88,75,60,0.6614,0.4615,0.6818,0.5505
nativecalls npm_cg acg,127,39,52,24,88,75,60,0.6614,0.4615,0.6818,0.5505
nativecalls tajs,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
nativecalls tajs acg,127,39,52,24,88,75,60,0.6614,0.4615,0.6818,0.5505
nativecalls acg,127,39,52,24,88,75,60,0.6614,0.4615,0.6818,0.5505
closure_compiler,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
closure_compiler wala,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
closure_compiler wala npm_cg,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
closure_compiler wala npm_cg tajs,127,39,127,39,88,0,0,0.3071,0.3071,0.0000,0.0000
closure_compiler wala npm_cg tajs acg,127,39,55,25,88,72,58,0.6535,0.4545,0.6591,0.5380
closure_compiler wala npm_cg acg,127,39,55,25,88,72,58,0.6535,0.4545,0.6591,0.5380
