Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1105,646,318,254,459,787,332,0.53031674208144796712,0.79874213836477991890,0.35825105782792665554,0.49464459591041870512
static nativecalls,1105,646,318,254,459,787,332,0.53031674208144796712,0.79874213836477991890,0.35825105782792665554,0.49464459591041870512
static nativecalls dynamic,1105,646,240,237,459,865,393,0.57013574660633481450,0.98750000000000004441,0.33427362482369532559,0.49947312961011591792
static nativecalls dynamic closure_compiler,1105,646,195,194,459,911,395,0.53303167420814479005,0.99487179487179489001,0.27323943661971833441,0.42872928176795582766
static nativecalls dynamic closure_compiler npm_cg,1105,646,195,194,459,911,395,0.53303167420814479005,0.99487179487179489001,0.27323943661971833441,0.42872928176795582766
static nativecalls dynamic closure_compiler npm_cg tajs,1105,646,195,194,459,911,395,0.53303167420814479005,0.99487179487179489001,0.27323943661971833441,0.42872928176795582766
static nativecalls dynamic closure_compiler npm_cg tajs acg,1105,646,177,176,459,929,395,0.51674208144796385245,0.99435028248587575828,0.24788732394366197465,0.39684329199549039924
static nativecalls dynamic closure_compiler npm_cg acg,1105,646,177,176,459,929,395,0.51674208144796385245,0.99435028248587575828,0.24788732394366197465,0.39684329199549039924
static nativecalls dynamic closure_compiler tajs,1105,646,195,194,459,911,395,0.53303167420814479005,0.99487179487179489001,0.27323943661971833441,0.42872928176795582766
static nativecalls dynamic closure_compiler tajs acg,1105,646,177,176,459,929,395,0.51674208144796385245,0.99435028248587575828,0.24788732394366197465,0.39684329199549039924
static nativecalls dynamic closure_compiler acg,1105,646,177,176,459,929,395,0.51674208144796385245,0.99435028248587575828,0.24788732394366197465,0.39684329199549039924
static nativecalls dynamic npm_cg,1105,646,237,235,459,868,394,0.56923076923076920686,0.99156118143459914815,0.33145275035260929331,0.49682875264270609517
static nativecalls dynamic npm_cg tajs,1105,646,237,235,459,868,394,0.56923076923076920686,0.99156118143459914815,0.33145275035260929331,0.49682875264270609517
static nativecalls dynamic npm_cg tajs acg,1105,646,198,197,459,907,395,0.53574660633484161298,0.99494949494949491697,0.27785613540197462434,0.43439911797133401450
static nativecalls dynamic npm_cg acg,1105,646,198,197,459,907,395,0.53574660633484161298,0.99494949494949491697,0.27785613540197462434,0.43439911797133401450
static nativecalls dynamic tajs,1105,646,240,237,459,865,393,0.57013574660633481450,0.98750000000000004441,0.33427362482369532559,0.49947312961011591792
static nativecalls dynamic tajs acg,1105,646,198,197,459,907,395,0.53574660633484161298,0.99494949494949491697,0.27785613540197462434,0.43439911797133401450
static nativecalls dynamic acg,1105,646,198,197,459,907,395,0.53574660633484161298,0.99494949494949491697,0.27785613540197462434,0.43439911797133401450
static nativecalls closure_compiler,1105,646,240,204,459,866,360,0.51040723981900448791,0.84999999999999997780,0.28732394366197183677,0.42947368421052634080
static nativecalls closure_compiler npm_cg,1105,646,239,204,459,867,361,0.51131221719457009556,0.85355648535564854207,0.28732394366197183677,0.42992623814541619520
static nativecalls closure_compiler npm_cg tajs,1105,646,239,204,459,867,361,0.51131221719457009556,0.85355648535564854207,0.28732394366197183677,0.42992623814541619520
static nativecalls closure_compiler npm_cg tajs acg,1105,646,213,185,459,893,368,0.50045248868778280382,0.86854460093896712625,0.26056338028169012677,0.40086673889490787026
static nativecalls closure_compiler npm_cg acg,1105,646,213,185,459,893,368,0.50045248868778280382,0.86854460093896712625,0.26056338028169012677,0.40086673889490787026
static nativecalls closure_compiler tajs,1105,646,240,204,459,866,360,0.51040723981900448791,0.84999999999999997780,0.28732394366197183677,0.42947368421052634080
static nativecalls closure_compiler tajs acg,1105,646,213,185,459,893,368,0.50045248868778280382,0.86854460093896712625,0.26056338028169012677,0.40086673889490787026
static nativecalls closure_compiler acg,1105,646,213,185,459,893,368,0.50045248868778280382,0.86854460093896712625,0.26056338028169012677,0.40086673889490787026
static nativecalls npm_cg,1105,646,314,252,459,791,334,0.53031674208144796712,0.80254777070063698652,0.35543018335684062325,0.49266862170087971640
static nativecalls npm_cg tajs,1105,646,314,252,459,791,334,0.53031674208144796712,0.80254777070063698652,0.35543018335684062325,0.49266862170087971640
static nativecalls npm_cg tajs acg,1105,646,255,211,459,850,352,0.50950226244343888027,0.82745098039215680963,0.29760225669957685035,0.43775933609958506132
static nativecalls npm_cg acg,1105,646,255,211,459,850,352,0.50950226244343888027,0.82745098039215680963,0.29760225669957685035,0.43775933609958506132
static nativecalls tajs,1105,646,318,254,459,787,332,0.53031674208144796712,0.79874213836477991890,0.35825105782792665554,0.49464459591041870512
static nativecalls tajs acg,1105,646,255,211,459,850,352,0.50950226244343888027,0.82745098039215680963,0.29760225669957685035,0.43775933609958506132
static nativecalls acg,1105,646,255,211,459,850,352,0.50950226244343888027,0.82745098039215680963,0.29760225669957685035,0.43775933609958506132
static dynamic,1105,646,240,237,459,865,393,0.57013574660633481450,0.98750000000000004441,0.33427362482369532559,0.49947312961011591792
static dynamic closure_compiler,1105,646,195,194,459,911,395,0.53303167420814479005,0.99487179487179489001,0.27323943661971833441,0.42872928176795582766
static dynamic closure_compiler npm_cg,1105,646,195,194,459,911,395,0.53303167420814479005,0.99487179487179489001,0.27323943661971833441,0.42872928176795582766
static dynamic closure_compiler npm_cg tajs,1105,646,195,194,459,911,395,0.53303167420814479005,0.99487179487179489001,0.27323943661971833441,0.42872928176795582766
static dynamic closure_compiler npm_cg tajs acg,1105,646,177,176,459,929,395,0.51674208144796385245,0.99435028248587575828,0.24788732394366197465,0.39684329199549039924
static dynamic closure_compiler npm_cg acg,1105,646,177,176,459,929,395,0.51674208144796385245,0.99435028248587575828,0.24788732394366197465,0.39684329199549039924
static dynamic closure_compiler tajs,1105,646,195,194,459,911,395,0.53303167420814479005,0.99487179487179489001,0.27323943661971833441,0.42872928176795582766
