Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,128,52,45,27,76,83,58,0.66406250000000000000,0.59999999999999997780,0.51923076923076927347,0.55670103092783507215
static nativecalls,128,52,45,27,76,83,58,0.66406250000000000000,0.59999999999999997780,0.51923076923076927347,0.55670103092783507215
static nativecalls dynamic,128,52,34,27,76,94,69,0.75000000000000000000,0.79411764705882348370,0.51923076923076927347,0.62790697674418605168
static nativecalls dynamic closure_compiler,128,52,34,27,76,94,69,0.75000000000000000000,0.79411764705882348370,0.51923076923076927347,0.62790697674418605168
static nativecalls dynamic closure_compiler npm_cg,128,52,31,25,76,97,70,0.74218750000000000000,0.80645161290322575631,0.48076923076923078204,0.60240963855421680861
static nativecalls dynamic closure_compiler npm_cg tajs,128,52,31,25,76,97,70,0.74218750000000000000,0.80645161290322575631,0.48076923076923078204,0.60240963855421680861
static nativecalls dynamic closure_compiler npm_cg tajs acg,128,52,31,25,76,97,70,0.74218750000000000000,0.80645161290322575631,0.48076923076923078204,0.60240963855421680861
static nativecalls dynamic closure_compiler npm_cg acg,128,52,31,25,76,97,70,0.74218750000000000000,0.80645161290322575631,0.48076923076923078204,0.60240963855421680861
static nativecalls dynamic closure_compiler tajs,128,52,34,27,76,94,69,0.75000000000000000000,0.79411764705882348370,0.51923076923076927347,0.62790697674418605168
static nativecalls dynamic closure_compiler tajs acg,128,52,34,27,76,94,69,0.75000000000000000000,0.79411764705882348370,0.51923076923076927347,0.62790697674418605168
static nativecalls dynamic closure_compiler acg,128,52,34,27,76,94,69,0.75000000000000000000,0.79411764705882348370,0.51923076923076927347,0.62790697674418605168
static nativecalls dynamic npm_cg,128,52,31,25,76,97,70,0.74218750000000000000,0.80645161290322575631,0.48076923076923078204,0.60240963855421680861
static nativecalls dynamic npm_cg tajs,128,52,31,25,76,97,70,0.74218750000000000000,0.80645161290322575631,0.48076923076923078204,0.60240963855421680861
static nativecalls dynamic npm_cg tajs acg,128,52,31,25,76,97,70,0.74218750000000000000,0.80645161290322575631,0.48076923076923078204,0.60240963855421680861
static nativecalls dynamic npm_cg acg,128,52,31,25,76,97,70,0.74218750000000000000,0.80645161290322575631,0.48076923076923078204,0.60240963855421680861
static nativecalls dynamic tajs,128,52,34,27,76,94,69,0.75000000000000000000,0.79411764705882348370,0.51923076923076927347,0.62790697674418605168
static nativecalls dynamic tajs acg,128,52,34,27,76,94,69,0.75000000000000000000,0.79411764705882348370,0.51923076923076927347,0.62790697674418605168
static nativecalls dynamic acg,128,52,34,27,76,94,69,0.75000000000000000000,0.79411764705882348370,0.51923076923076927347,0.62790697674418605168
static nativecalls closure_compiler,128,52,45,27,76,83,58,0.66406250000000000000,0.59999999999999997780,0.51923076923076927347,0.55670103092783507215
static nativecalls closure_compiler npm_cg,128,52,40,25,76,88,61,0.67187500000000000000,0.62500000000000000000,0.48076923076923078204,0.54347826086956518843
static nativecalls closure_compiler npm_cg tajs,128,52,40,25,76,88,61,0.67187500000000000000,0.62500000000000000000,0.48076923076923078204,0.54347826086956518843
