Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,591,416,244,219,175,347,150,0.62436548223350252229,0.89754098360655742983,0.52644230769230770939,0.66363636363636357984
static nativecalls,591,416,244,219,175,347,150,0.62436548223350252229,0.89754098360655742983,0.52644230769230770939,0.66363636363636357984
static nativecalls dynamic,591,416,225,219,175,366,169,0.65651438240270731939,0.97333333333333338366,0.52644230769230770939,0.68330733229329165823
static nativecalls dynamic closure_compiler,591,416,225,219,175,366,169,0.65651438240270731939,0.97333333333333338366,0.52644230769230770939,0.68330733229329165823
static nativecalls dynamic closure_compiler npm_cg,591,416,182,177,175,409,170,0.58714043993231812557,0.97252747252747251405,0.42548076923076921796,0.59197324414715712937
static nativecalls dynamic closure_compiler npm_cg tajs,591,416,182,177,175,409,170,0.58714043993231812557,0.97252747252747251405,0.42548076923076921796,0.59197324414715712937
static nativecalls dynamic closure_compiler npm_cg tajs acg,591,416,133,132,175,458,174,0.51776649746192893176,0.99248120300751874190,0.31730769230769229061,0.48087431693989063364
static nativecalls dynamic closure_compiler npm_cg acg,591,416,133,132,175,458,174,0.51776649746192893176,0.99248120300751874190,0.31730769230769229061,0.48087431693989063364
static nativecalls dynamic closure_compiler tajs,591,416,225,219,175,366,169,0.65651438240270731939,0.97333333333333338366,0.52644230769230770939,0.68330733229329165823
static nativecalls dynamic closure_compiler tajs acg,591,416,135,134,175,456,174,0.52115059221658210920,0.99259259259259258190,0.32211538461538463674,0.48638838475499091007
static nativecalls dynamic closure_compiler acg,591,416,135,134,175,456,174,0.52115059221658210920,0.99259259259259258190,0.32211538461538463674,0.48638838475499091007
static nativecalls dynamic npm_cg,591,416,182,177,175,409,170,0.58714043993231812557,0.97252747252747251405,0.42548076923076921796,0.59197324414715712937
static nativecalls dynamic npm_cg tajs,591,416,182,177,175,409,170,0.58714043993231812557,0.97252747252747251405,0.42548076923076921796,0.59197324414715712937
static nativecalls dynamic npm_cg tajs acg,591,416,133,132,175,458,174,0.51776649746192893176,0.99248120300751874190,0.31730769230769229061,0.48087431693989063364
