Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,834,535,333,242,299,501,208,0.53956834532374098323,0.72672672672672677940,0.45233644859813082473,0.55760368663594472860
static nativecalls,834,535,333,242,299,501,208,0.53956834532374098323,0.72672672672672677940,0.45233644859813082473,0.55760368663594472860
static nativecalls dynamic,834,535,245,242,299,589,296,0.64508393285371701253,0.98775510204081629073,0.45233644859813082473,0.62051282051282052876
static nativecalls dynamic closure_compiler,834,535,213,212,299,622,298,0.61151079136690644766,0.99530516431924886955,0.39552238805970146851,0.56608811748998655311
static nativecalls dynamic closure_compiler npm_cg,834,535,212,211,299,623,298,0.61031175059952036399,0.99528301886792447384,0.39365671641791044610,0.56417112299465232983
static nativecalls dynamic closure_compiler npm_cg tajs,834,535,212,211,299,623,298,0.61031175059952036399,0.99528301886792447384,0.39365671641791044610,0.56417112299465232983
static nativecalls dynamic closure_compiler npm_cg tajs acg,834,535,194,193,299,641,298,0.58872901678657074687,0.99484536082474228635,0.36007462686567165422,0.52876712328767128124
static nativecalls dynamic closure_compiler npm_cg acg,834,535,194,193,299,641,298,0.58872901678657074687,0.99484536082474228635,0.36007462686567165422,0.52876712328767128124
static nativecalls dynamic closure_compiler tajs,834,535,213,212,299,622,298,0.61151079136690644766,0.99530516431924886955,0.39552238805970146851,0.56608811748998655311
static nativecalls dynamic closure_compiler tajs acg,834,535,194,193,299,641,298,0.58872901678657074687,0.99484536082474228635,0.36007462686567165422,0.52876712328767128124
static nativecalls dynamic closure_compiler acg,834,535,194,193,299,641,298,0.58872901678657074687,0.99484536082474228635,0.36007462686567165422,0.52876712328767128124
static nativecalls dynamic npm_cg,834,535,240,238,299,594,297,0.64148681055155876152,0.99166666666666669627,0.44485981308411215451,0.61419354838709683264
static nativecalls dynamic npm_cg tajs,834,535,240,238,299,594,297,0.64148681055155876152,0.99166666666666669627,0.44485981308411215451,0.61419354838709683264
static nativecalls dynamic npm_cg tajs acg,834,535,208,207,299,626,298,0.60551558752997602930,0.99519230769230770939,0.38691588785046726606,0.55720053835800809061
static nativecalls dynamic npm_cg acg,834,535,208,207,299,626,298,0.60551558752997602930,0.99519230769230770939,0.38691588785046726606,0.55720053835800809061
static nativecalls dynamic tajs,834,535,245,242,299,589,296,0.64508393285371701253,0.98775510204081629073,0.45233644859813082473,0.62051282051282052876
static nativecalls dynamic tajs acg,834,535,208,207,299,626,298,0.60551558752997602930,0.99519230769230770939,0.38691588785046726606,0.55720053835800809061
static nativecalls dynamic acg,834,535,208,207,299,626,298,0.60551558752997602930,0.99519230769230770939,0.38691588785046726606,0.55720053835800809061
static nativecalls closure_compiler,834,535,281,212,299,554,230,0.52997601918465231385,0.75444839857651246895,0.39552238805970146851,0.51897184822521424952
static nativecalls closure_compiler npm_cg,834,535,280,211,299,555,230,0.52877697841726623018,0.75357142857142855874,0.39365671641791044610,0.51715686274509808928
static nativecalls closure_compiler npm_cg tajs,834,535,280,211,299,555,230,0.52877697841726623018,0.75357142857142855874,0.39365671641791044610,0.51715686274509808928
static nativecalls closure_compiler npm_cg tajs acg,834,535,244,193,299,591,248,0.52877697841726623018,0.79098360655737709468,0.36007462686567165422,0.49487179487179489001
static nativecalls closure_compiler npm_cg acg,834,535,244,193,299,591,248,0.52877697841726623018,0.79098360655737709468,0.36007462686567165422,0.49487179487179489001
static nativecalls closure_compiler tajs,834,535,281,212,299,554,230,0.52997601918465231385,0.75444839857651246895,0.39552238805970146851,0.51897184822521424952
static nativecalls closure_compiler tajs acg,834,535,244,193,299,591,248,0.52877697841726623018,0.79098360655737709468,0.36007462686567165422,0.49487179487179489001
static nativecalls closure_compiler acg,834,535,244,193,299,591,248,0.52877697841726623018,0.79098360655737709468,0.36007462686567165422,0.49487179487179489001
static nativecalls npm_cg,834,535,326,238,299,508,211,0.53836930455635489956,0.73006134969325153783,0.44485981308411215451,0.55284552845528456277
static nativecalls npm_cg tajs,834,535,326,238,299,508,211,0.53836930455635489956,0.73006134969325153783,0.44485981308411215451,0.55284552845528456277
static nativecalls npm_cg tajs acg,834,535,266,207,299,568,240,0.53597122302158273222,0.77819548872180455135,0.38691588785046726606,0.51685393258426959306
static nativecalls npm_cg acg,834,535,266,207,299,568,240,0.53597122302158273222,0.77819548872180455135,0.38691588785046726606,0.51685393258426959306
static nativecalls tajs,834,535,333,242,299,501,208,0.53956834532374098323,0.72672672672672677940,0.45233644859813082473,0.55760368663594472860
static nativecalls tajs acg,834,535,266,207,299,568,240,0.53597122302158273222,0.77819548872180455135,0.38691588785046726606,0.51685393258426959306
static nativecalls acg,834,535,266,207,299,568,240,0.53597122302158273222,0.77819548872180455135,0.38691588785046726606,0.51685393258426959306
static dynamic,834,535,245,242,299,589,296,0.64508393285371701253,0.98775510204081629073,0.45233644859813082473,0.62051282051282052876
static dynamic closure_compiler,834,535,213,212,299,622,298,0.61151079136690644766,0.99530516431924886955,0.39552238805970146851,0.56608811748998655311
static dynamic closure_compiler npm_cg,834,535,212,211,299,623,298,0.61031175059952036399,0.99528301886792447384,0.39365671641791044610,0.56417112299465232983
static dynamic closure_compiler npm_cg tajs,834,535,212,211,299,623,298,0.61031175059952036399,0.99528301886792447384,0.39365671641791044610,0.56417112299465232983
static dynamic closure_compiler npm_cg tajs acg,834,535,194,193,299,641,298,0.58872901678657074687,0.99484536082474228635,0.36007462686567165422,0.52876712328767128124
static dynamic closure_compiler npm_cg acg,834,535,194,193,299,641,298,0.58872901678657074687,0.99484536082474228635,0.36007462686567165422,0.52876712328767128124
static dynamic closure_compiler tajs,834,535,213,212,299,622,298,0.61151079136690644766,0.99530516431924886955,0.39552238805970146851,0.56608811748998655311
static dynamic closure_compiler tajs acg,834,535,194,193,299,641,298,0.58872901678657074687,0.99484536082474228635,0.36007462686567165422,0.52876712328767128124
static dynamic closure_compiler acg,834,535,194,193,299,641,298,0.58872901678657074687,0.99484536082474228635,0.36007462686567165422,0.52876712328767128124
static dynamic npm_cg,834,535,240,238,299,594,297,0.64148681055155876152,0.99166666666666669627,0.44485981308411215451,0.61419354838709683264
static dynamic npm_cg tajs,834,535,240,238,299,594,297,0.64148681055155876152,0.99166666666666669627,0.44485981308411215451,0.61419354838709683264
static dynamic npm_cg tajs acg,834,535,208,207,299,626,298,0.60551558752997602930,0.99519230769230770939,0.38691588785046726606,0.55720053835800809061
static dynamic npm_cg acg,834,535,208,207,299,626,298,0.60551558752997602930,0.99519230769230770939,0.38691588785046726606,0.55720053835800809061
static dynamic tajs,834,535,245,242,299,589,296,0.64508393285371701253,0.98775510204081629073,0.45233644859813082473,0.62051282051282052876
static dynamic tajs acg,834,535,208,207,299,626,298,0.60551558752997602930,0.99519230769230770939,0.38691588785046726606,0.55720053835800809061
static dynamic acg,834,535,208,207,299,626,298,0.60551558752997602930,0.99519230769230770939,0.38691588785046726606,0.55720053835800809061
static closure_compiler,834,535,281,212,299,554,230,0.52997601918465231385,0.75444839857651246895,0.39552238805970146851,0.51897184822521424952
static closure_compiler npm_cg,834,535,280,211,299,555,230,0.52877697841726623018,0.75357142857142855874,0.39365671641791044610,0.51715686274509808928
static closure_compiler npm_cg tajs,834,535,280,211,299,555,230,0.52877697841726623018,0.75357142857142855874,0.39365671641791044610,0.51715686274509808928
static closure_compiler npm_cg tajs acg,834,535,244,193,299,591,248,0.52877697841726623018,0.79098360655737709468,0.36007462686567165422,0.49487179487179489001
static closure_compiler npm_cg acg,834,535,244,193,299,591,248,0.52877697841726623018,0.79098360655737709468,0.36007462686567165422,0.49487179487179489001
static closure_compiler tajs,834,535,281,212,299,554,230,0.52997601918465231385,0.75444839857651246895,0.39552238805970146851,0.51897184822521424952
static closure_compiler tajs acg,834,535,244,193,299,591,248,0.52877697841726623018,0.79098360655737709468,0.36007462686567165422,0.49487179487179489001
static closure_compiler acg,834,535,244,193,299,591,248,0.52877697841726623018,0.79098360655737709468,0.36007462686567165422,0.49487179487179489001
static npm_cg,834,535,326,238,299,508,211,0.53836930455635489956,0.73006134969325153783,0.44485981308411215451,0.55284552845528456277
static npm_cg tajs,834,535,326,238,299,508,211,0.53836930455635489956,0.73006134969325153783,0.44485981308411215451,0.55284552845528456277
static npm_cg tajs acg,834,535,266,207,299,568,240,0.53597122302158273222,0.77819548872180455135,0.38691588785046726606,0.51685393258426959306
static npm_cg acg,834,535,266,207,299,568,240,0.53597122302158273222,0.77819548872180455135,0.38691588785046726606,0.51685393258426959306
static tajs,834,535,333,242,299,501,208,0.53956834532374098323,0.72672672672672677940,0.45233644859813082473,0.55760368663594472860
static tajs acg,834,535,266,207,299,568,240,0.53597122302158273222,0.77819548872180455135,0.38691588785046726606,0.51685393258426959306
static acg,834,535,266,207,299,568,240,0.53597122302158273222,0.77819548872180455135,0.38691588785046726606,0.51685393258426959306
nativecalls,834,535,834,535,299,0,0,0.64148681055155876152,0.64148681055155876152,1.00000000000000000000,0.78159240321402478902
nativecalls dynamic,834,535,541,535,299,293,293,0.99280575539568349797,0.98890942698706096881,1.00000000000000000000,0.99442379182156137585
nativecalls dynamic closure_compiler,834,535,350,349,299,485,298,0.77577937649880090998,0.99714285714285710860,0.65111940298507464675,0.78781038374717826667
nativecalls dynamic closure_compiler npm_cg,834,535,342,341,299,493,298,0.76618705035971224060,0.99707602339181289341,0.63619402985074624546,0.77676537585421401300
nativecalls dynamic closure_compiler npm_cg tajs,834,535,342,341,299,493,298,0.76618705035971224060,0.99707602339181289341,0.63619402985074624546,0.77676537585421401300
nativecalls dynamic closure_compiler npm_cg tajs acg,834,535,284,283,299,551,298,0.69664268585131894351,0.99647887323943662441,0.52798507462686572467,0.69024390243902444819
nativecalls dynamic closure_compiler npm_cg acg,834,535,284,283,299,551,298,0.69664268585131894351,0.99647887323943662441,0.52798507462686572467,0.69024390243902444819
nativecalls dynamic closure_compiler tajs,834,535,350,349,299,485,298,0.77577937649880090998,0.99714285714285710860,0.65111940298507464675,0.78781038374717826667
