Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static nativecalls,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls closure_compiler,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler wala,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler wala npm_cg,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler wala npm_cg tajs,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler wala npm_cg tajs acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler wala npm_cg acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler wala tajs,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler wala tajs acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler wala acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler npm_cg,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler npm_cg tajs,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler npm_cg tajs acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler npm_cg acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler tajs,1074,554,526,271,520,549,265,0.4991,0.5152,0.5096,0.5124
static nativecalls closure_compiler tajs acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls closure_compiler acg,1074,554,386,179,520,689,313,0.4581,0.4637,0.6019,0.5239
static nativecalls wala,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls wala npm_cg,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls wala npm_cg tajs,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls wala npm_cg tajs acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls wala npm_cg acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls wala tajs,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls wala tajs acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls wala acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls npm_cg,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls npm_cg tajs,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls npm_cg tajs acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls npm_cg acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls tajs,1074,554,533,273,520,541,260,0.4963,0.5122,0.5000,0.5060
static nativecalls tajs acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static nativecalls acg,1074,554,387,180,520,687,313,0.4590,0.4651,0.6019,0.5247
static closure_compiler,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler wala,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler wala npm_cg,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler wala npm_cg tajs,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler wala npm_cg tajs acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler wala npm_cg acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler wala tajs,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler wala tajs acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler wala acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler npm_cg,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler npm_cg tajs,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler npm_cg tajs acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler npm_cg acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler tajs,1074,554,534,279,520,541,265,0.5065,0.5225,0.5096,0.5160
static closure_compiler tajs acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static closure_compiler acg,1074,554,400,192,520,675,312,0.4693,0.4800,0.6000,0.5333
static wala,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static wala npm_cg,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static wala npm_cg tajs,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static wala npm_cg tajs acg,1074,554,401,193,520,673,312,0.4702,0.4813,0.6000,0.5341
static wala npm_cg acg,1074,554,401,193,520,673,312,0.4702,0.4813,0.6000,0.5341
static wala tajs,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static wala tajs acg,1074,554,401,193,520,673,312,0.4702,0.4813,0.6000,0.5341
static wala acg,1074,554,401,193,520,673,312,0.4702,0.4813,0.6000,0.5341
static npm_cg,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static npm_cg tajs,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static npm_cg tajs acg,1074,554,401,193,520,673,312,0.4702,0.4813,0.6000,0.5341
static npm_cg acg,1074,554,401,193,520,673,312,0.4702,0.4813,0.6000,0.5341
static tajs,1074,554,540,280,520,534,260,0.5028,0.5185,0.5000,0.5091
static tajs acg,1074,554,401,193,520,673,312,0.4702,0.4813,0.6000,0.5341
static acg,1074,554,401,193,520,673,312,0.4702,0.4813,0.6000,0.5341
nativecalls,1074,554,1074,554,520,0,0,0.5158,0.5158,0.0000,0.0000
nativecalls closure_compiler,1074,554,1046,548,520,29,22,0.5307,0.5239,0.0423,0.0783
nativecalls closure_compiler wala,1074,554,1046,548,520,29,22,0.5307,0.5239,0.0423,0.0783
nativecalls closure_compiler wala npm_cg,1074,554,1046,548,520,29,22,0.5307,0.5239,0.0423,0.0783
nativecalls closure_compiler wala npm_cg tajs,1074,554,1046,548,520,29,22,0.5307,0.5239,0.0423,0.0783
nativecalls closure_compiler wala npm_cg tajs acg,1074,554,489,238,520,586,269,0.4721,0.4867,0.5173,0.5015
nativecalls closure_compiler wala npm_cg acg,1074,554,489,238,520,586,269,0.4721,0.4867,0.5173,0.5015
nativecalls closure_compiler wala tajs,1074,554,1046,548,520,29,22,0.5307,0.5239,0.0423,0.0783
nativecalls closure_compiler wala tajs acg,1074,554,489,238,520,586,269,0.4721,0.4867,0.5173,0.5015
nativecalls closure_compiler wala acg,1074,554,489,238,520,586,269,0.4721,0.4867,0.5173,0.5015
nativecalls closure_compiler npm_cg,1074,554,1046,548,520,29,22,0.5307,0.5239,0.0423,0.0783
nativecalls closure_compiler npm_cg tajs,1074,554,1046,548,520,29,22,0.5307,0.5239,0.0423,0.0783
nativecalls closure_compiler npm_cg tajs acg,1074,554,489,238,520,586,269,0.4721,0.4867,0.5173,0.5015
nativecalls closure_compiler npm_cg acg,1074,554,489,238,520,586,269,0.4721,0.4867,0.5173,0.5015
nativecalls closure_compiler tajs,1074,554,1046,548,520,29,22,0.5307,0.5239,0.0423,0.0783
nativecalls closure_compiler tajs acg,1074,554,489,238,520,586,269,0.4721,0.4867,0.5173,0.5015
nativecalls closure_compiler acg,1074,554,489,238,520,586,269,0.4721,0.4867,0.5173,0.5015
nativecalls wala,1074,554,1074,554,520,0,0,0.5158,0.5158,0.0000,0.0000
nativecalls wala npm_cg,1074,554,1074,554,520,0,0,0.5158,0.5158,0.0000,0.0000
nativecalls wala npm_cg tajs,1074,554,1074,554,520,0,0,0.5158,0.5158,0.0000,0.0000
nativecalls wala npm_cg tajs acg,1074,554,490,239,520,584,269,0.4730,0.4878,0.5173,0.5021
nativecalls wala npm_cg acg,1074,554,490,239,520,584,269,0.4730,0.4878,0.5173,0.5021
nativecalls wala tajs,1074,554,1074,554,520,0,0,0.5158,0.5158,0.0000,0.0000
nativecalls wala tajs acg,1074,554,490,239,520,584,269,0.4730,0.4878,0.5173,0.5021
nativecalls wala acg,1074,554,490,239,520,584,269,0.4730,0.4878,0.5173,0.5021
nativecalls npm_cg,1074,554,1074,554,520,0,0,0.5158,0.5158,0.0000,0.0000
nativecalls npm_cg tajs,1074,554,1074,554,520,0,0,0.5158,0.5158,0.0000,0.0000
nativecalls npm_cg tajs acg,1074,554,490,239,520,584,269,0.4730,0.4878,0.5173,0.5021
nativecalls npm_cg acg,1074,554,490,239,520,584,269,0.4730,0.4878,0.5173,0.5021
nativecalls tajs,1074,554,1074,554,520,0,0,0.5158,0.5158,0.0000,0.0000
nativecalls tajs acg,1074,554,490,239,520,584,269,0.4730,0.4878,0.5173,0.5021
nativecalls acg,1074,554,490,239,520,584,269,0.4730,0.4878,0.5173,0.5021
closure_compiler,1074,554,1049,550,520,26,21,0.5317,0.5243,0.0404,0.0750
closure_compiler wala,1074,554,1049,550,520,26,21,0.5317,0.5243,0.0404,0.0750
closure_compiler wala npm_cg,1074,554,1049,550,520,26,21,0.5317,0.5243,0.0404,0.0750
