Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,20,5,11,4,15,9,8,0.59999999999999997780,0.36363636363636364646,0.80000000000000004441,0.50000000000000011102
static nativecalls,20,5,11,4,15,9,8,0.59999999999999997780,0.36363636363636364646,0.80000000000000004441,0.50000000000000011102
static nativecalls dynamic,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static nativecalls dynamic closure_compiler,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static nativecalls dynamic closure_compiler npm_cg,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static nativecalls dynamic closure_compiler npm_cg tajs,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static nativecalls dynamic closure_compiler npm_cg tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static nativecalls dynamic closure_compiler npm_cg acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static nativecalls dynamic closure_compiler tajs,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static nativecalls dynamic closure_compiler tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static nativecalls dynamic closure_compiler acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static nativecalls dynamic npm_cg,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static nativecalls dynamic npm_cg tajs,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static nativecalls dynamic npm_cg tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static nativecalls dynamic npm_cg acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static nativecalls dynamic tajs,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static nativecalls dynamic tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static nativecalls dynamic acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static nativecalls closure_compiler,20,5,11,4,15,9,8,0.59999999999999997780,0.36363636363636364646,0.80000000000000004441,0.50000000000000011102
static nativecalls closure_compiler npm_cg,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static nativecalls closure_compiler npm_cg tajs,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static nativecalls closure_compiler npm_cg tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static nativecalls closure_compiler npm_cg acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static nativecalls closure_compiler tajs,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static nativecalls closure_compiler tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static nativecalls closure_compiler acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static nativecalls npm_cg,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static nativecalls npm_cg tajs,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static nativecalls npm_cg tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static nativecalls npm_cg acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static nativecalls tajs,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static nativecalls tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static nativecalls acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static dynamic,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static dynamic closure_compiler,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static dynamic closure_compiler npm_cg,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static dynamic closure_compiler npm_cg tajs,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static dynamic closure_compiler npm_cg tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static dynamic closure_compiler npm_cg acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static dynamic closure_compiler tajs,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static dynamic closure_compiler tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static dynamic closure_compiler acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static dynamic npm_cg,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static dynamic npm_cg tajs,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static dynamic npm_cg tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static dynamic npm_cg acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static dynamic tajs,20,5,9,4,15,11,10,0.69999999999999995559,0.44444444444444441977,0.80000000000000004441,0.57142857142857139685
static dynamic tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static dynamic acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
static closure_compiler,20,5,11,4,15,9,8,0.59999999999999997780,0.36363636363636364646,0.80000000000000004441,0.50000000000000011102
static closure_compiler npm_cg,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static closure_compiler npm_cg tajs,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static closure_compiler npm_cg tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static closure_compiler npm_cg acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static closure_compiler tajs,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static closure_compiler tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static closure_compiler acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static npm_cg,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static npm_cg tajs,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static npm_cg tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static npm_cg acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static tajs,20,5,10,4,15,10,9,0.65000000000000002220,0.40000000000000002220,0.80000000000000004441,0.53333333333333332593
static tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
static acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
nativecalls,20,5,20,5,15,0,0,0.25000000000000000000,0.25000000000000000000,1.00000000000000000000,0.40000000000000002220
nativecalls dynamic,20,5,11,5,15,9,9,0.69999999999999995559,0.45454545454545453032,1.00000000000000000000,0.62500000000000000000
nativecalls dynamic closure_compiler,20,5,11,5,15,9,9,0.69999999999999995559,0.45454545454545453032,1.00000000000000000000,0.62500000000000000000
nativecalls dynamic closure_compiler npm_cg,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
nativecalls dynamic closure_compiler npm_cg tajs,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
nativecalls dynamic closure_compiler npm_cg tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
nativecalls dynamic closure_compiler npm_cg acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
nativecalls dynamic closure_compiler tajs,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
nativecalls dynamic closure_compiler tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
nativecalls dynamic closure_compiler acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
nativecalls dynamic npm_cg,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
nativecalls dynamic npm_cg tajs,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
nativecalls dynamic npm_cg tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
nativecalls dynamic npm_cg acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
nativecalls dynamic tajs,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
nativecalls dynamic tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
nativecalls dynamic acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
nativecalls closure_compiler,20,5,20,5,15,0,0,0.25000000000000000000,0.25000000000000000000,1.00000000000000000000,0.40000000000000002220
nativecalls closure_compiler npm_cg,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
nativecalls closure_compiler npm_cg tajs,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
nativecalls closure_compiler npm_cg tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
nativecalls closure_compiler npm_cg acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
nativecalls closure_compiler tajs,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
nativecalls closure_compiler tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
nativecalls closure_compiler acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
nativecalls npm_cg,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
nativecalls npm_cg tajs,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
nativecalls npm_cg tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
nativecalls npm_cg acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
nativecalls tajs,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
nativecalls tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
nativecalls acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
dynamic,20,5,11,5,15,9,9,0.69999999999999995559,0.45454545454545453032,1.00000000000000000000,0.62500000000000000000
dynamic closure_compiler,20,5,11,5,15,9,9,0.69999999999999995559,0.45454545454545453032,1.00000000000000000000,0.62500000000000000000
dynamic closure_compiler npm_cg,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
dynamic closure_compiler npm_cg tajs,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
dynamic closure_compiler npm_cg tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
dynamic closure_compiler npm_cg acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
dynamic closure_compiler tajs,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
dynamic closure_compiler tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
dynamic closure_compiler acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
dynamic npm_cg,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
dynamic npm_cg tajs,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
dynamic npm_cg tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
dynamic npm_cg acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
dynamic tajs,20,5,10,5,15,10,10,0.75000000000000000000,0.50000000000000000000,1.00000000000000000000,0.66666666666666662966
dynamic tajs acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
dynamic acg,20,5,5,4,15,15,14,0.90000000000000002220,0.80000000000000004441,0.80000000000000004441,0.80000000000000015543
closure_compiler,20,5,20,5,15,0,0,0.25000000000000000000,0.25000000000000000000,1.00000000000000000000,0.40000000000000002220
closure_compiler npm_cg,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
closure_compiler npm_cg tajs,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
closure_compiler npm_cg tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
closure_compiler npm_cg acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
closure_compiler tajs,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
closure_compiler tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
closure_compiler acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
npm_cg,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
npm_cg tajs,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
npm_cg tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
npm_cg acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
tajs,20,5,16,5,15,4,4,0.45000000000000001110,0.31250000000000000000,1.00000000000000000000,0.47619047619047616404
tajs acg,20,5,6,4,15,14,13,0.84999999999999997780,0.66666666666666662966,0.80000000000000004441,0.72727272727272718189
