Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,256,154,144,95,102,112,53,0.57812500000000000000,0.65972222222222220989,0.61688311688311692205,0.63758389261744963239
static nativecalls,256,154,143,95,102,113,54,0.58203125000000000000,0.66433566433566437759,0.61688311688311692205,0.63973063973063981624
static nativecalls dynamic,256,154,100,95,102,156,97,0.75000000000000000000,0.94999999999999995559,0.61688311688311692205,0.74803149606299212948
static nativecalls dynamic closure_compiler,256,154,93,92,102,164,101,0.75390625000000000000,0.98924731182795699880,0.59354838709677415487,0.74193548387096774910
static nativecalls dynamic closure_compiler npm_cg,256,154,93,92,102,164,101,0.75390625000000000000,0.98924731182795699880,0.59354838709677415487,0.74193548387096774910
static nativecalls dynamic closure_compiler npm_cg tajs,256,154,93,92,102,164,101,0.75390625000000000000,0.98924731182795699880,0.59354838709677415487,0.74193548387096774910
static nativecalls dynamic closure_compiler npm_cg tajs acg,256,154,67,66,102,190,101,0.65234375000000000000,0.98507462686567159871,0.42580645161290320289,0.59459459459459462760
static nativecalls dynamic closure_compiler npm_cg acg,256,154,67,66,102,190,101,0.65234375000000000000,0.98507462686567159871,0.42580645161290320289,0.59459459459459462760
static nativecalls dynamic closure_compiler tajs,256,154,93,92,102,164,101,0.75390625000000000000,0.98924731182795699880,0.59354838709677415487,0.74193548387096774910
static nativecalls dynamic closure_compiler tajs acg,256,154,67,66,102,190,101,0.65234375000000000000,0.98507462686567159871,0.42580645161290320289,0.59459459459459462760
static nativecalls dynamic closure_compiler acg,256,154,67,66,102,190,101,0.65234375000000000000,0.98507462686567159871,0.42580645161290320289,0.59459459459459462760
static nativecalls dynamic npm_cg,256,154,99,95,102,157,98,0.75390625000000000000,0.95959595959595955783,0.61688311688311692205,0.75098814229249011287
static nativecalls dynamic npm_cg tajs,256,154,99,95,102,157,98,0.75390625000000000000,0.95959595959595955783,0.61688311688311692205,0.75098814229249011287
