Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,127,39,44,19,88,83,63,0.64566929133858264045,0.43181818181818182323,0.48717948717948716952,0.45783132530120485004
static nativecalls,127,39,44,19,88,83,63,0.64566929133858264045,0.43181818181818182323,0.48717948717948716952,0.45783132530120485004
static nativecalls dynamic,127,39,25,19,88,102,82,0.79527559055118113296,0.76000000000000000888,0.48717948717948716952,0.59375000000000000000
static nativecalls dynamic closure_compiler,127,39,25,19,88,102,82,0.79527559055118113296,0.76000000000000000888,0.48717948717948716952,0.59375000000000000000
static nativecalls dynamic closure_compiler npm_cg,127,39,22,17,88,105,83,0.78740157480314965088,0.77272727272727270709,0.43589743589743590313,0.55737704918032782153
static nativecalls dynamic closure_compiler npm_cg tajs,127,39,22,17,88,105,83,0.78740157480314965088,0.77272727272727270709,0.43589743589743590313,0.55737704918032782153
static nativecalls dynamic closure_compiler npm_cg tajs acg,127,39,17,16,88,110,87,0.81102362204724409711,0.94117647058823528106,0.41025641025641024218,0.57142857142857128583
static nativecalls dynamic closure_compiler npm_cg acg,127,39,17,16,88,110,87,0.81102362204724409711,0.94117647058823528106,0.41025641025641024218,0.57142857142857128583
static nativecalls dynamic closure_compiler tajs,127,39,25,19,88,102,82,0.79527559055118113296,0.76000000000000000888,0.48717948717948716952,0.59375000000000000000
static nativecalls dynamic closure_compiler tajs acg,127,39,18,17,88,109,87,0.81889763779527557919,0.94444444444444441977,0.43589743589743590313,0.59649122807017551651
static nativecalls dynamic closure_compiler acg,127,39,18,17,88,109,87,0.81889763779527557919,0.94444444444444441977,0.43589743589743590313,0.59649122807017551651
static nativecalls dynamic npm_cg,127,39,22,17,88,105,83,0.78740157480314965088,0.77272727272727270709,0.43589743589743590313,0.55737704918032782153
