Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,869,557,324,235,312,545,223,0.52704257767548912117,0.72530864197530864335,0.42190305206463196708,0.53348467650397279893
static nativecalls,869,557,324,235,312,545,223,0.52704257767548912117,0.72530864197530864335,0.42190305206463196708,0.53348467650397279893
static nativecalls dynamic,869,557,240,235,312,629,307,0.62370540851553513129,0.97916666666666662966,0.42190305206463196708,0.58971141781681302163
static nativecalls dynamic closure_compiler,869,557,216,215,312,654,311,0.60529344073647872726,0.99537037037037034981,0.38530465949820785765,0.55555555555555558023
static nativecalls dynamic closure_compiler npm_cg,869,557,215,214,312,655,311,0.60414269275028764650,0.99534883720930233952,0.38351254480286739446,0.55368693402328583719
static nativecalls dynamic closure_compiler npm_cg tajs,869,557,215,214,312,655,311,0.60414269275028764650,0.99534883720930233952,0.38351254480286739446,0.55368693402328583719
static nativecalls dynamic closure_compiler npm_cg tajs acg,869,557,190,189,312,680,311,0.57537399309551207072,0.99473684210526314153,0.33870967741935481543,0.50534759358288772191
static nativecalls dynamic closure_compiler npm_cg acg,869,557,190,189,312,680,311,0.57537399309551207072,0.99473684210526314153,0.33870967741935481543,0.50534759358288772191
static nativecalls dynamic closure_compiler tajs,869,557,216,215,312,654,311,0.60529344073647872726,0.99537037037037034981,0.38530465949820785765,0.55555555555555558023
static nativecalls dynamic closure_compiler tajs acg,869,557,190,189,312,680,311,0.57537399309551207072,0.99473684210526314153,0.33870967741935481543,0.50534759358288772191
static nativecalls dynamic closure_compiler acg,869,557,190,189,312,680,311,0.57537399309551207072,0.99473684210526314153,0.33870967741935481543,0.50534759358288772191
static nativecalls dynamic npm_cg,869,557,236,232,312,633,308,0.62140391254315308078,0.98305084745762716381,0.41651705565529623110,0.58511979823455240179
static nativecalls dynamic npm_cg tajs,869,557,236,232,312,633,308,0.62140391254315308078,0.98305084745762716381,0.41651705565529623110,0.58511979823455240179
static nativecalls dynamic npm_cg tajs acg,869,557,200,198,312,669,310,0.58457997698504027273,0.98999999999999999112,0.35547576301615796401,0.52311756935270792290
static nativecalls dynamic npm_cg acg,869,557,200,198,312,669,310,0.58457997698504027273,0.98999999999999999112,0.35547576301615796401,0.52311756935270792290
static nativecalls dynamic tajs,869,557,240,235,312,629,307,0.62370540851553513129,0.97916666666666662966,0.42190305206463196708,0.58971141781681302163
static nativecalls dynamic tajs acg,869,557,200,198,312,669,310,0.58457997698504027273,0.98999999999999999112,0.35547576301615796401,0.52311756935270792290
static nativecalls dynamic acg,869,557,200,198,312,669,310,0.58457997698504027273,0.98999999999999999112,0.35547576301615796401,0.52311756935270792290
static nativecalls closure_compiler,869,557,277,215,312,593,250,0.53509781357882624242,0.77617328519855599556,0.38530465949820785765,0.51497005988023958345
static nativecalls closure_compiler npm_cg,869,557,276,214,312,594,250,0.53394706559263516166,0.77536231884057971175,0.38351254480286739446,0.51318944844124703142
static nativecalls closure_compiler npm_cg tajs,869,557,276,214,312,594,250,0.53394706559263516166,0.77536231884057971175,0.38351254480286739446,0.51318944844124703142
static nativecalls closure_compiler npm_cg tajs acg,869,557,237,189,312,633,264,0.52128883774453393940,0.79746835443037977775,0.33870967741935481543,0.47547169811320755262
static nativecalls closure_compiler npm_cg acg,869,557,237,189,312,633,264,0.52128883774453393940,0.79746835443037977775,0.33870967741935481543,0.47547169811320755262
static nativecalls closure_compiler tajs,869,557,277,215,312,593,250,0.53509781357882624242,0.77617328519855599556,0.38530465949820785765,0.51497005988023958345
static nativecalls closure_compiler tajs acg,869,557,237,189,312,633,264,0.52128883774453393940,0.79746835443037977775,0.33870967741935481543,0.47547169811320755262
