Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,560,325,171,135,235,389,199,0.59642857142857141906,0.78947368421052632748,0.41538461538461540767,0.54435483870967749098
static nativecalls,560,325,171,135,235,389,199,0.59642857142857141906,0.78947368421052632748,0.41538461538461540767,0.54435483870967749098
static nativecalls dynamic,560,325,140,135,235,420,230,0.65178571428571430157,0.96428571428571430157,0.41538461538461540767,0.58064516129032262004
static nativecalls dynamic closure_compiler,560,325,140,135,235,420,230,0.65178571428571430157,0.96428571428571430157,0.41538461538461540767,0.58064516129032262004
static nativecalls dynamic closure_compiler npm_cg,560,325,135,131,235,425,231,0.64642857142857146346,0.97037037037037032761,0.40307692307692305489,0.56956521739130427928
static nativecalls dynamic closure_compiler npm_cg tajs,560,325,135,131,235,425,231,0.64642857142857146346,0.97037037037037032761,0.40307692307692305489,0.56956521739130427928
static nativecalls dynamic closure_compiler npm_cg tajs acg,560,325,98,96,235,462,233,0.58750000000000002220,0.97959183673469385489,0.29538461538461541211,0.45390070921985820052
static nativecalls dynamic closure_compiler npm_cg acg,560,325,98,96,235,462,233,0.58750000000000002220,0.97959183673469385489,0.29538461538461541211,0.45390070921985820052
static nativecalls dynamic closure_compiler tajs,560,325,140,135,235,420,230,0.65178571428571430157,0.96428571428571430157,0.41538461538461540767,0.58064516129032262004
static nativecalls dynamic closure_compiler tajs acg,560,325,100,98,235,460,233,0.59107142857142858094,0.97999999999999998224,0.30153846153846153300,0.46117647058823529882
static nativecalls dynamic closure_compiler acg,560,325,100,98,235,460,233,0.59107142857142858094,0.97999999999999998224,0.30153846153846153300,0.46117647058823529882
static nativecalls dynamic npm_cg,560,325,135,131,235,425,231,0.64642857142857146346,0.97037037037037032761,0.40307692307692305489,0.56956521739130427928
static nativecalls dynamic npm_cg tajs,560,325,135,131,235,425,231,0.64642857142857146346,0.97037037037037032761,0.40307692307692305489,0.56956521739130427928
static nativecalls dynamic npm_cg tajs acg,560,325,98,96,235,462,233,0.58750000000000002220,0.97959183673469385489,0.29538461538461541211,0.45390070921985820052
static nativecalls dynamic npm_cg acg,560,325,98,96,235,462,233,0.58750000000000002220,0.97959183673469385489,0.29538461538461541211,0.45390070921985820052
static nativecalls dynamic tajs,560,325,140,135,235,420,230,0.65178571428571430157,0.96428571428571430157,0.41538461538461540767,0.58064516129032262004
static nativecalls dynamic tajs acg,560,325,100,98,235,460,233,0.59107142857142858094,0.97999999999999998224,0.30153846153846153300,0.46117647058823529882
static nativecalls dynamic acg,560,325,100,98,235,460,233,0.59107142857142858094,0.97999999999999998224,0.30153846153846153300,0.46117647058823529882
static nativecalls closure_compiler,560,325,171,135,235,389,199,0.59642857142857141906,0.78947368421052632748,0.41538461538461540767,0.54435483870967749098
static nativecalls closure_compiler npm_cg,560,325,166,131,235,394,200,0.59107142857142858094,0.78915662650602413919,0.40307692307692305489,0.53360488798370675489
static nativecalls closure_compiler npm_cg tajs,560,325,166,131,235,394,200,0.59107142857142858094,0.78915662650602413919,0.40307692307692305489,0.53360488798370675489
static nativecalls closure_compiler npm_cg tajs acg,560,325,115,96,235,445,216,0.55714285714285716189,0.83478260869565212854,0.29538461538461541211,0.43636363636363634244
static nativecalls closure_compiler npm_cg acg,560,325,115,96,235,445,216,0.55714285714285716189,0.83478260869565212854,0.29538461538461541211,0.43636363636363634244
static nativecalls closure_compiler tajs,560,325,171,135,235,389,199,0.59642857142857141906,0.78947368421052632748,0.41538461538461540767,0.54435483870967749098
static nativecalls closure_compiler tajs acg,560,325,117,98,235,443,216,0.56071428571428572063,0.83760683760683762866,0.30153846153846153300,0.44343891402714924466
