Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static nativecalls,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls closure_compiler,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler wala,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler wala npm_cg,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler wala npm_cg tajs,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler wala npm_cg tajs acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler wala npm_cg acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler wala tajs,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler wala tajs acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler wala acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler npm_cg,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler npm_cg tajs,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler npm_cg tajs acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler npm_cg acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler tajs,128,52,34,25,76,94,67,0.7188,0.7353,0.8816,0.8018
static nativecalls closure_compiler tajs acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls closure_compiler acg,128,52,30,23,76,98,69,0.7188,0.7667,0.9079,0.8313
static nativecalls wala,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls wala npm_cg,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls wala npm_cg tajs,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls wala npm_cg tajs acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls wala npm_cg acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls wala tajs,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls wala tajs acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls wala acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls npm_cg,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls npm_cg tajs,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls npm_cg tajs acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls npm_cg acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls tajs,128,52,43,27,76,85,60,0.6797,0.6279,0.7895,0.6995
static nativecalls tajs acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static nativecalls acg,128,52,31,24,76,97,69,0.7266,0.7742,0.9079,0.8357
static closure_compiler,128,52,39,27,76,89,64,0.7109,0.6923,0.8421,0.7599
static closure_compiler wala,128,52,39,27,76,89,64,0.7109,0.6923,0.8421,0.7599
static closure_compiler wala npm_cg,128,52,39,27,76,89,64,0.7109,0.6923,0.8421,0.7599
static closure_compiler wala npm_cg tajs,128,52,39,27,76,89,64,0.7109,0.6923,0.8421,0.7599
static closure_compiler wala npm_cg tajs acg,128,52,35,25,76,93,66,0.7109,0.7143,0.8684,0.7838
static closure_compiler wala npm_cg acg,128,52,35,25,76,93,66,0.7109,0.7143,0.8684,0.7838
static closure_compiler wala tajs,128,52,39,27,76,89,64,0.7109,0.6923,0.8421,0.7599
static closure_compiler wala tajs acg,128,52,35,25,76,93,66,0.7109,0.7143,0.8684,0.7838
static closure_compiler wala acg,128,52,35,25,76,93,66,0.7109,0.7143,0.8684,0.7838
static closure_compiler npm_cg,128,52,39,27,76,89,64,0.7109,0.6923,0.8421,0.7599
static closure_compiler npm_cg tajs,128,52,39,27,76,89,64,0.7109,0.6923,0.8421,0.7599
static closure_compiler npm_cg tajs acg,128,52,35,25,76,93,66,0.7109,0.7143,0.8684,0.7838
static closure_compiler npm_cg acg,128,52,35,25,76,93,66,0.7109,0.7143,0.8684,0.7838
static closure_compiler tajs,128,52,39,27,76,89,64,0.7109,0.6923,0.8421,0.7599
static closure_compiler tajs acg,128,52,35,25,76,93,66,0.7109,0.7143,0.8684,0.7838
static closure_compiler acg,128,52,35,25,76,93,66,0.7109,0.7143,0.8684,0.7838
static wala,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static wala npm_cg,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static wala npm_cg tajs,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static wala npm_cg tajs acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static wala npm_cg acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static wala tajs,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static wala tajs acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static wala acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static npm_cg,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static npm_cg tajs,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static npm_cg tajs acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static npm_cg acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static tajs,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static tajs acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
nativecalls,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls closure_compiler,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls closure_compiler wala,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls closure_compiler wala npm_cg,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls closure_compiler wala npm_cg tajs,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls closure_compiler wala npm_cg tajs acg,128,52,51,35,76,77,60,0.7422,0.6863,0.7895,0.7343
nativecalls closure_compiler wala npm_cg acg,128,52,51,35,76,77,60,0.7422,0.6863,0.7895,0.7343
nativecalls closure_compiler wala tajs,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls closure_compiler wala tajs acg,128,52,51,35,76,77,60,0.7422,0.6863,0.7895,0.7343
nativecalls closure_compiler wala acg,128,52,51,35,76,77,60,0.7422,0.6863,0.7895,0.7343
nativecalls closure_compiler npm_cg,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls closure_compiler npm_cg tajs,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls closure_compiler npm_cg tajs acg,128,52,51,35,76,77,60,0.7422,0.6863,0.7895,0.7343
nativecalls closure_compiler npm_cg acg,128,52,51,35,76,77,60,0.7422,0.6863,0.7895,0.7343
nativecalls closure_compiler tajs,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls closure_compiler tajs acg,128,52,51,35,76,77,60,0.7422,0.6863,0.7895,0.7343
nativecalls closure_compiler acg,128,52,51,35,76,77,60,0.7422,0.6863,0.7895,0.7343
nativecalls wala,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls wala npm_cg,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls wala npm_cg tajs,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls wala npm_cg tajs acg,128,52,53,36,76,75,59,0.7422,0.6792,0.7763,0.7245
nativecalls wala npm_cg acg,128,52,53,36,76,75,59,0.7422,0.6792,0.7763,0.7245
nativecalls wala tajs,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls wala tajs acg,128,52,53,36,76,75,59,0.7422,0.6792,0.7763,0.7245
nativecalls wala acg,128,52,53,36,76,75,59,0.7422,0.6792,0.7763,0.7245
nativecalls npm_cg,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls npm_cg tajs,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
nativecalls npm_cg tajs acg,128,52,53,36,76,75,59,0.7422,0.6792,0.7763,0.7245
nativecalls npm_cg acg,128,52,53,36,76,75,59,0.7422,0.6792,0.7763,0.7245
nativecalls tajs,128,52,128,52,76,0,0,0.4063,0.4063,0.0000,0.0000
