Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,981,678,436,309,303,545,176,0.49439347604485217591,0.70871559633027525482,0.45575221238938051771,0.55475763016157986218
static nativecalls,981,678,436,309,303,545,176,0.49439347604485217591,0.70871559633027525482,0.45575221238938051771,0.55475763016157986218
static nativecalls dynamic,981,678,389,309,303,592,223,0.54230377166156984448,0.79434447300771204858,0.45575221238938051771,0.57919400187441427708
static nativecalls dynamic closure_compiler,981,678,300,233,303,682,236,0.47808358817533130880,0.77666666666666661634,0.34315169366715758681,0.47599591419816139615
static nativecalls dynamic closure_compiler npm_cg,981,678,275,218,303,707,246,0.47298674821610603436,0.79272727272727272485,0.32106038291605304424,0.45702306079664578586
static nativecalls dynamic closure_compiler npm_cg tajs,981,678,275,218,303,707,246,0.47298674821610603436,0.79272727272727272485,0.32106038291605304424,0.45702306079664578586
static nativecalls dynamic closure_compiler npm_cg tajs acg,981,678,218,175,303,764,260,0.44342507645259937599,0.80275229357798161267,0.25773195876288657047,0.39018952062430323213
static nativecalls dynamic closure_compiler npm_cg acg,981,678,218,175,303,764,260,0.44342507645259937599,0.80275229357798161267,0.25773195876288657047,0.39018952062430323213
static nativecalls dynamic closure_compiler tajs,981,678,300,233,303,682,236,0.47808358817533130880,0.77666666666666661634,0.34315169366715758681,0.47599591419816139615
static nativecalls dynamic closure_compiler tajs acg,981,678,227,178,303,755,254,0.44036697247706424463,0.78414096916299558249,0.26215022091310752339,0.39293598233995580271
static nativecalls dynamic closure_compiler acg,981,678,227,178,303,755,254,0.44036697247706424463,0.78414096916299558249,0.26215022091310752339,0.39293598233995580271
static nativecalls dynamic npm_cg,981,678,342,280,303,639,241,0.53109072375127419630,0.81871345029239761537,0.41297935103244837185,0.54901960784313719177
static nativecalls dynamic npm_cg tajs,981,678,342,280,303,639,241,0.53109072375127419630,0.81871345029239761537,0.41297935103244837185,0.54901960784313719177
static nativecalls dynamic npm_cg tajs acg,981,678,241,197,303,740,259,0.46483180428134557305,0.81742738589211616507,0.29056047197640116897,0.42872687704026107847
static nativecalls dynamic npm_cg acg,981,678,241,197,303,740,259,0.46483180428134557305,0.81742738589211616507,0.29056047197640116897,0.42872687704026107847
static nativecalls dynamic tajs,981,678,389,309,303,592,223,0.54230377166156984448,0.79434447300771204858,0.45575221238938051771,0.57919400187441427708
static nativecalls dynamic tajs acg,981,678,250,200,303,731,253,0.46177370030581038618,0.80000000000000004441,0.29498525073746312275,0.43103448275862066286
static nativecalls dynamic acg,981,678,250,200,303,731,253,0.46177370030581038618,0.80000000000000004441,0.29498525073746312275,0.43103448275862066286
static nativecalls closure_compiler,981,678,345,233,303,637,191,0.43221202854230378332,0.67536231884057973396,0.34315169366715758681,0.45507812500000005551
static nativecalls closure_compiler npm_cg,981,678,316,218,303,666,205,0.43119266055045873953,0.68987341772151899999,0.32106038291605304424,0.43819095477386932336
static nativecalls closure_compiler npm_cg tajs,981,678,316,218,303,666,205,0.43119266055045873953,0.68987341772151899999,0.32106038291605304424,0.43819095477386932336
static nativecalls closure_compiler npm_cg tajs acg,981,678,258,175,303,724,220,0.40265035677879712495,0.67829457364341083636,0.25773195876288657047,0.37353255069370328023
static nativecalls closure_compiler npm_cg acg,981,678,258,175,303,724,220,0.40265035677879712495,0.67829457364341083636,0.25773195876288657047,0.37353255069370328023
static nativecalls closure_compiler tajs,981,678,345,233,303,637,191,0.43221202854230378332,0.67536231884057973396,0.34315169366715758681,0.45507812500000005551
