Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,136,84,80,69,52,56,41,0.80882352941176471894,0.86250000000000004441,0.82142857142857139685,0.84146341463414631168
static nativecalls,136,84,80,69,52,56,41,0.80882352941176471894,0.86250000000000004441,0.82142857142857139685,0.84146341463414631168
static nativecalls dynamic,136,84,75,69,52,61,46,0.84558823529411764053,0.92000000000000003997,0.82142857142857139685,0.86792452830188671076
static nativecalls dynamic closure_compiler,136,84,69,68,52,68,51,0.87500000000000000000,0.98550724637681164086,0.80000000000000004441,0.88311688311688307795
static nativecalls dynamic closure_compiler npm_cg,136,84,61,60,52,76,51,0.81617647058823528106,0.98360655737704916213,0.70588235294117651630,0.82191780821917814759
static nativecalls dynamic closure_compiler npm_cg tajs,136,84,61,60,52,76,51,0.81617647058823528106,0.98360655737704916213,0.70588235294117651630,0.82191780821917814759
static nativecalls dynamic closure_compiler npm_cg tajs acg,136,84,61,60,52,76,51,0.81617647058823528106,0.98360655737704916213,0.70588235294117651630,0.82191780821917814759
static nativecalls dynamic closure_compiler npm_cg acg,136,84,61,60,52,76,51,0.81617647058823528106,0.98360655737704916213,0.70588235294117651630,0.82191780821917814759
static nativecalls dynamic closure_compiler tajs,136,84,69,68,52,68,51,0.87500000000000000000,0.98550724637681164086,0.80000000000000004441,0.88311688311688307795
static nativecalls dynamic closure_compiler tajs acg,136,84,69,68,52,68,51,0.87500000000000000000,0.98550724637681164086,0.80000000000000004441,0.88311688311688307795
static nativecalls dynamic closure_compiler acg,136,84,69,68,52,68,51,0.87500000000000000000,0.98550724637681164086,0.80000000000000004441,0.88311688311688307795
static nativecalls dynamic npm_cg,136,84,65,60,52,71,47,0.78676470588235292158,0.92307692307692312816,0.71428571428571430157,0.80536912751677869338
static nativecalls dynamic npm_cg tajs,136,84,65,60,52,71,47,0.78676470588235292158,0.92307692307692312816,0.71428571428571430157,0.80536912751677869338
static nativecalls dynamic npm_cg tajs acg,136,84,65,60,52,71,47,0.78676470588235292158,0.92307692307692312816,0.71428571428571430157,0.80536912751677869338
static nativecalls dynamic npm_cg acg,136,84,65,60,52,71,47,0.78676470588235292158,0.92307692307692312816,0.71428571428571430157,0.80536912751677869338
static nativecalls dynamic tajs,136,84,74,69,52,62,47,0.85294117647058820264,0.93243243243243245644,0.82142857142857139685,0.87341772151898722232
static nativecalls dynamic tajs acg,136,84,74,69,52,62,47,0.85294117647058820264,0.93243243243243245644,0.82142857142857139685,0.87341772151898722232
static nativecalls dynamic acg,136,84,75,69,52,61,46,0.84558823529411764053,0.92000000000000003997,0.82142857142857139685,0.86792452830188671076
static nativecalls closure_compiler,136,84,74,68,52,63,46,0.83823529411764707842,0.91891891891891896993,0.80000000000000004441,0.85534591194968545569
static nativecalls closure_compiler npm_cg,136,84,66,60,52,71,46,0.77941176470588235947,0.90909090909090906063,0.70588235294117651630,0.79470198675496694918
static nativecalls closure_compiler npm_cg tajs,136,84,66,60,52,71,46,0.77941176470588235947,0.90909090909090906063,0.70588235294117651630,0.79470198675496694918
static nativecalls closure_compiler npm_cg tajs acg,136,84,66,60,52,71,46,0.77941176470588235947,0.90909090909090906063,0.70588235294117651630,0.79470198675496694918
