Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,533,348,525,355,185,8,7,0.67917448405253277866,0.67619047619047623066,0.99719101123595510483,0.80590238365493771511
static nativecalls,533,348,525,355,185,8,7,0.67917448405253277866,0.67619047619047623066,0.99719101123595510483,0.80590238365493771511
static nativecalls dynamic,533,348,353,347,185,180,171,0.97185741088180110925,0.98300283286118983472,0.97471910112359549938,0.97884344146685475785
static nativecalls dynamic closure_compiler,533,348,261,260,185,273,176,0.81801125703564725455,0.99616858237547889487,0.72829131652661061036,0.84142394822006472133
static nativecalls dynamic closure_compiler npm_cg,533,348,253,252,185,281,176,0.80300187617260787576,0.99604743083003954851,0.70588235294117651630,0.82622950819672125178
static nativecalls dynamic closure_compiler npm_cg tajs,533,348,253,252,185,281,176,0.80300187617260787576,0.99604743083003954851,0.70588235294117651630,0.82622950819672125178
static nativecalls dynamic closure_compiler npm_cg tajs acg,533,348,203,202,185,331,176,0.70919324577861164727,0.99507389162561576956,0.56582633053221287334,0.72142857142857130803
static nativecalls dynamic closure_compiler npm_cg acg,533,348,203,202,185,331,176,0.70919324577861164727,0.99507389162561576956,0.56582633053221287334,0.72142857142857130803
static nativecalls dynamic closure_compiler tajs,533,348,261,260,185,273,176,0.81801125703564725455,0.99616858237547889487,0.72829131652661061036,0.84142394822006472133
static nativecalls dynamic closure_compiler tajs acg,533,348,203,202,185,331,176,0.70919324577861164727,0.99507389162561576956,0.56582633053221287334,0.72142857142857130803
static nativecalls dynamic closure_compiler acg,533,348,203,202,185,331,176,0.70919324577861164727,0.99507389162561576956,0.56582633053221287334,0.72142857142857130803
static nativecalls dynamic npm_cg,533,348,314,309,185,219,172,0.90243902439024392681,0.98407643312101911182,0.86797752808988759554,0.92238805970149262414
static nativecalls dynamic npm_cg tajs,533,348,314,309,185,219,172,0.90243902439024392681,0.98407643312101911182,0.86797752808988759554,0.92238805970149262414
static nativecalls dynamic npm_cg tajs acg,533,348,213,212,185,320,176,0.72795497185741087076,0.99530516431924886955,0.59550561797752810111,0.74516695957820744400
static nativecalls dynamic npm_cg acg,533,348,213,212,185,320,176,0.72795497185741087076,0.99530516431924886955,0.59550561797752810111,0.74516695957820744400
static nativecalls dynamic tajs,533,348,353,347,185,180,171,0.97185741088180110925,0.98300283286118983472,0.97471910112359549938,0.97884344146685475785
static nativecalls dynamic tajs acg,533,348,213,212,185,320,176,0.72795497185741087076,0.99530516431924886955,0.59550561797752810111,0.74516695957820744400
static nativecalls dynamic acg,533,348,213,212,185,320,176,0.72795497185741087076,0.99530516431924886955,0.59550561797752810111,0.74516695957820744400
static nativecalls closure_compiler,533,348,393,266,185,141,50,0.59287054409005623956,0.67684478371501277660,0.74509803921568629193,0.70933333333333326021
static nativecalls closure_compiler npm_cg,533,348,381,258,185,153,54,0.58536585365853655016,0.67716535433070867978,0.72268907563025208685,0.69918699186991872807
static nativecalls closure_compiler npm_cg tajs,533,348,381,258,185,153,54,0.58536585365853655016,0.67716535433070867978,0.72268907563025208685,0.69918699186991872807
static nativecalls closure_compiler npm_cg tajs acg,533,348,304,208,185,230,81,0.54221388367729828062,0.68421052631578949121,0.58263305322128855490,0.62934947049924361284
static nativecalls closure_compiler npm_cg acg,533,348,304,208,185,230,81,0.54221388367729828062,0.68421052631578949121,0.58263305322128855490,0.62934947049924361284
static nativecalls closure_compiler tajs,533,348,393,266,185,141,50,0.59287054409005623956,0.67684478371501277660,0.74509803921568629193,0.70933333333333326021
static nativecalls closure_compiler tajs acg,533,348,305,208,185,229,80,0.54033771106941841378,0.68196721311475405614,0.58263305322128855490,0.62839879154078548407
static nativecalls closure_compiler acg,533,348,305,208,185,229,80,0.54033771106941841378,0.68196721311475405614,0.58263305322128855490,0.62839879154078548407
static nativecalls npm_cg,533,348,477,317,185,56,17,0.62664165103189495287,0.66457023060796649450,0.89044943820224720099,0.76110444177671077171
static nativecalls npm_cg tajs,533,348,477,317,185,56,17,0.62664165103189495287,0.66457023060796649450,0.89044943820224720099,0.76110444177671077171
static nativecalls npm_cg tajs acg,533,348,322,218,185,211,73,0.54596622889305812532,0.67701863354037261633,0.61235955056179780520,0.64306784660766957984
static nativecalls npm_cg acg,533,348,322,218,185,211,73,0.54596622889305812532,0.67701863354037261633,0.61235955056179780520,0.64306784660766957984
static nativecalls tajs,533,348,525,355,185,8,7,0.67917448405253277866,0.67619047619047623066,0.99719101123595510483,0.80590238365493771511
static nativecalls tajs acg,533,348,323,218,185,210,72,0.54409005628517825848,0.67492260061919506775,0.61235955056179780520,0.64212076583210608849
static nativecalls acg,533,348,323,218,185,210,72,0.54409005628517825848,0.67492260061919506775,0.61235955056179780520,0.64212076583210608849
static dynamic,533,348,353,347,185,180,171,0.97185741088180110925,0.98300283286118983472,0.97471910112359549938,0.97884344146685475785
static dynamic closure_compiler,533,348,261,260,185,273,176,0.81801125703564725455,0.99616858237547889487,0.72829131652661061036,0.84142394822006472133
static dynamic closure_compiler npm_cg,533,348,253,252,185,281,176,0.80300187617260787576,0.99604743083003954851,0.70588235294117651630,0.82622950819672125178
static dynamic closure_compiler npm_cg tajs,533,348,253,252,185,281,176,0.80300187617260787576,0.99604743083003954851,0.70588235294117651630,0.82622950819672125178
static dynamic closure_compiler npm_cg tajs acg,533,348,203,202,185,331,176,0.70919324577861164727,0.99507389162561576956,0.56582633053221287334,0.72142857142857130803
static dynamic closure_compiler npm_cg acg,533,348,203,202,185,331,176,0.70919324577861164727,0.99507389162561576956,0.56582633053221287334,0.72142857142857130803
static dynamic closure_compiler tajs,533,348,261,260,185,273,176,0.81801125703564725455,0.99616858237547889487,0.72829131652661061036,0.84142394822006472133
static dynamic closure_compiler tajs acg,533,348,203,202,185,331,176,0.70919324577861164727,0.99507389162561576956,0.56582633053221287334,0.72142857142857130803
static dynamic closure_compiler acg,533,348,203,202,185,331,176,0.70919324577861164727,0.99507389162561576956,0.56582633053221287334,0.72142857142857130803
static dynamic npm_cg,533,348,314,309,185,219,172,0.90243902439024392681,0.98407643312101911182,0.86797752808988759554,0.92238805970149262414
static dynamic npm_cg tajs,533,348,314,309,185,219,172,0.90243902439024392681,0.98407643312101911182,0.86797752808988759554,0.92238805970149262414
static dynamic npm_cg tajs acg,533,348,213,212,185,320,176,0.72795497185741087076,0.99530516431924886955,0.59550561797752810111,0.74516695957820744400
static dynamic npm_cg acg,533,348,213,212,185,320,176,0.72795497185741087076,0.99530516431924886955,0.59550561797752810111,0.74516695957820744400
static dynamic tajs,533,348,353,347,185,180,171,0.97185741088180110925,0.98300283286118983472,0.97471910112359549938,0.97884344146685475785
static dynamic tajs acg,533,348,213,212,185,320,176,0.72795497185741087076,0.99530516431924886955,0.59550561797752810111,0.74516695957820744400
static dynamic acg,533,348,213,212,185,320,176,0.72795497185741087076,0.99530516431924886955,0.59550561797752810111,0.74516695957820744400
static closure_compiler,533,348,393,266,185,141,50,0.59287054409005623956,0.67684478371501277660,0.74509803921568629193,0.70933333333333326021
static closure_compiler npm_cg,533,348,381,258,185,153,54,0.58536585365853655016,0.67716535433070867978,0.72268907563025208685,0.69918699186991872807
static closure_compiler npm_cg tajs,533,348,381,258,185,153,54,0.58536585365853655016,0.67716535433070867978,0.72268907563025208685,0.69918699186991872807
