Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,19,6,12,5,13,7,5,0.52631578947368418131,0.41666666666666668517,0.71428571428571430157,0.52631578947368418131
static nativecalls,19,6,12,5,13,7,5,0.52631578947368418131,0.41666666666666668517,0.71428571428571430157,0.52631578947368418131
static nativecalls dynamic,19,6,11,5,13,8,6,0.57894736842105265495,0.45454545454545453032,0.71428571428571430157,0.55555555555555558023
static nativecalls dynamic closure_compiler,19,6,11,5,13,8,6,0.57894736842105265495,0.45454545454545453032,0.71428571428571430157,0.55555555555555558023
static nativecalls dynamic closure_compiler npm_cg,19,6,10,5,13,9,7,0.63157894736842101757,0.50000000000000000000,0.71428571428571430157,0.58823529411764696739
static nativecalls dynamic closure_compiler npm_cg tajs,19,6,10,5,13,9,7,0.63157894736842101757,0.50000000000000000000,0.71428571428571430157,0.58823529411764696739
static nativecalls dynamic closure_compiler npm_cg tajs acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
static nativecalls dynamic closure_compiler npm_cg acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
static nativecalls dynamic closure_compiler tajs,19,6,10,5,13,9,7,0.63157894736842101757,0.50000000000000000000,0.71428571428571430157,0.58823529411764696739
static nativecalls dynamic closure_compiler tajs acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
static nativecalls dynamic closure_compiler acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
static nativecalls dynamic npm_cg,19,6,10,5,13,9,7,0.63157894736842101757,0.50000000000000000000,0.71428571428571430157,0.58823529411764696739
static nativecalls dynamic npm_cg tajs,19,6,10,5,13,9,7,0.63157894736842101757,0.50000000000000000000,0.71428571428571430157,0.58823529411764696739
static nativecalls dynamic npm_cg tajs acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
static nativecalls dynamic npm_cg acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
static nativecalls dynamic tajs,19,6,10,5,13,9,7,0.63157894736842101757,0.50000000000000000000,0.71428571428571430157,0.58823529411764696739
static nativecalls dynamic tajs acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
static nativecalls dynamic acg,19,6,6,5,13,13,11,0.84210526315789469010,0.83333333333333337034,0.71428571428571430157,0.76923076923076916245
static nativecalls closure_compiler,19,6,12,5,13,7,5,0.52631578947368418131,0.41666666666666668517,0.71428571428571430157,0.52631578947368418131
static nativecalls closure_compiler npm_cg,19,6,11,5,13,8,6,0.57894736842105265495,0.45454545454545453032,0.71428571428571430157,0.55555555555555558023
static nativecalls closure_compiler npm_cg tajs,19,6,11,5,13,8,6,0.57894736842105265495,0.45454545454545453032,0.71428571428571430157,0.55555555555555558023
static nativecalls closure_compiler npm_cg tajs acg,19,6,7,5,13,12,10,0.78947368421052632748,0.71428571428571430157,0.71428571428571430157,0.71428571428571430157
