Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,229,108,193,106,121,36,33,0.60698689956331874917,0.54922279792746109273,0.97247706422018354022,0.70198675496688733855
static nativecalls,229,108,192,105,121,37,33,0.60262008733624450318,0.54687500000000000000,0.96330275229357797961,0.69767441860465118086
static nativecalls dynamic,229,108,111,105,121,118,114,0.95633187772925765113,0.94594594594594594295,0.96330275229357797961,0.95454545454545458583
static nativecalls dynamic closure_compiler,229,108,100,99,121,129,119,0.95196506550218340514,0.98999999999999999112,0.90825688073394494904,0.94736842105263163738
static nativecalls dynamic closure_compiler npm_cg,229,108,98,97,121,131,119,0.94323144104803491317,0.98979591836734692745,0.88990825688073393884,0.93719806763285029572
static nativecalls dynamic closure_compiler npm_cg tajs,229,108,98,97,121,131,119,0.94323144104803491317,0.98979591836734692745,0.88990825688073393884,0.93719806763285029572
static nativecalls dynamic closure_compiler npm_cg tajs acg,229,108,40,39,121,189,119,0.68995633187772931194,0.97499999999999997780,0.35779816513761469876,0.52348993288590606188
static nativecalls dynamic closure_compiler npm_cg acg,229,108,40,39,121,189,119,0.68995633187772931194,0.97499999999999997780,0.35779816513761469876,0.52348993288590606188
static nativecalls dynamic closure_compiler tajs,229,108,100,99,121,129,119,0.95196506550218340514,0.98999999999999999112,0.90825688073394494904,0.94736842105263163738
static nativecalls dynamic closure_compiler tajs acg,229,108,40,39,121,189,119,0.68995633187772931194,0.97499999999999997780,0.35779816513761469876,0.52348993288590606188
static nativecalls dynamic closure_compiler acg,229,108,40,39,121,189,119,0.68995633187772931194,0.97499999999999997780,0.35779816513761469876,0.52348993288590606188
static nativecalls dynamic npm_cg,229,108,105,100,121,124,115,0.93886462882096066718,0.95238095238095232808,0.91743119266055050964,0.93457943925233644133
static nativecalls dynamic npm_cg tajs,229,108,105,100,121,124,115,0.93886462882096066718,0.95238095238095232808,0.91743119266055050964,0.93457943925233644133
static nativecalls dynamic npm_cg tajs acg,229,108,42,41,121,187,119,0.69868995633187769290,0.97619047619047616404,0.37614678899082570895,0.54304635761589403753
static nativecalls dynamic npm_cg acg,229,108,42,41,121,187,119,0.69868995633187769290,0.97619047619047616404,0.37614678899082570895,0.54304635761589403753
static nativecalls dynamic tajs,229,108,111,105,121,118,114,0.95633187772925765113,0.94594594594594594295,0.96330275229357797961,0.95454545454545458583
