Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,932,501,188,158,431,744,401,0.5998,0.8404,0.9304,0.8831
static nativecalls,932,501,146,139,431,786,424,0.6041,0.9521,0.9838,0.9676
static nativecalls closure_compiler,932,501,103,100,431,830,428,0.5665,0.9709,0.9930,0.9818
static nativecalls closure_compiler wala,932,501,103,100,431,830,428,0.5665,0.9709,0.9930,0.9818
static nativecalls closure_compiler wala npm_cg,932,501,103,100,431,830,428,0.5665,0.9709,0.9930,0.9818
static nativecalls closure_compiler wala npm_cg tajs,932,501,103,100,431,830,428,0.5665,0.9709,0.9930,0.9818
static nativecalls closure_compiler wala npm_cg tajs acg,932,501,70,67,431,863,428,0.5311,0.9571,0.9930,0.9748
static nativecalls closure_compiler wala npm_cg acg,932,501,70,67,431,863,428,0.5311,0.9571,0.9930,0.9748
static nativecalls closure_compiler wala tajs,932,501,103,100,431,830,428,0.5665,0.9709,0.9930,0.9818
static nativecalls closure_compiler wala tajs acg,932,501,70,67,431,863,428,0.5311,0.9571,0.9930,0.9748
static nativecalls closure_compiler wala acg,932,501,70,67,431,863,428,0.5311,0.9571,0.9930,0.9748
static nativecalls closure_compiler npm_cg,932,501,103,100,431,830,428,0.5665,0.9709,0.9930,0.9818
static nativecalls closure_compiler npm_cg tajs,932,501,103,100,431,830,428,0.5665,0.9709,0.9930,0.9818
static nativecalls closure_compiler npm_cg tajs acg,932,501,70,67,431,863,428,0.5311,0.9571,0.9930,0.9748
static nativecalls closure_compiler npm_cg acg,932,501,70,67,431,863,428,0.5311,0.9571,0.9930,0.9748
static nativecalls closure_compiler tajs,932,501,103,100,431,830,428,0.5665,0.9709,0.9930,0.9818
static nativecalls closure_compiler tajs acg,932,501,70,67,431,863,428,0.5311,0.9571,0.9930,0.9748
static nativecalls closure_compiler acg,932,501,70,67,431,863,428,0.5311,0.9571,0.9930,0.9748
static nativecalls wala,932,501,146,139,431,786,424,0.6041,0.9521,0.9838,0.9676
static nativecalls wala npm_cg,932,501,146,139,431,786,424,0.6041,0.9521,0.9838,0.9676
static nativecalls wala npm_cg tajs,932,501,146,139,431,786,424,0.6041,0.9521,0.9838,0.9676
static nativecalls wala npm_cg tajs acg,932,501,91,87,431,841,427,0.5515,0.9560,0.9907,0.9731
static nativecalls wala npm_cg acg,932,501,91,87,431,841,427,0.5515,0.9560,0.9907,0.9731
static nativecalls wala tajs,932,501,146,139,431,786,424,0.6041,0.9521,0.9838,0.9676
static nativecalls wala tajs acg,932,501,91,87,431,841,427,0.5515,0.9560,0.9907,0.9731
static nativecalls wala acg,932,501,91,87,431,841,427,0.5515,0.9560,0.9907,0.9731
static nativecalls npm_cg,932,501,146,139,431,786,424,0.6041,0.9521,0.9838,0.9676
static nativecalls npm_cg tajs,932,501,146,139,431,786,424,0.6041,0.9521,0.9838,0.9676
static nativecalls npm_cg tajs acg,932,501,91,87,431,841,427,0.5515,0.9560,0.9907,0.9731
static nativecalls npm_cg acg,932,501,91,87,431,841,427,0.5515,0.9560,0.9907,0.9731
static nativecalls tajs,932,501,146,139,431,786,424,0.6041,0.9521,0.9838,0.9676
static nativecalls tajs acg,932,501,91,87,431,841,427,0.5515,0.9560,0.9907,0.9731
static nativecalls acg,932,501,91,87,431,841,427,0.5515,0.9560,0.9907,0.9731
static closure_compiler,932,501,146,123,431,787,408,0.5697,0.8425,0.9466,0.8915
static closure_compiler wala,932,501,146,123,431,787,408,0.5697,0.8425,0.9466,0.8915
static closure_compiler wala npm_cg,932,501,146,123,431,787,408,0.5697,0.8425,0.9466,0.8915
static closure_compiler wala npm_cg tajs,932,501,146,123,431,787,408,0.5697,0.8425,0.9466,0.8915
static closure_compiler wala npm_cg tajs acg,932,501,103,87,431,830,415,0.5386,0.8447,0.9629,0.8999
static closure_compiler wala npm_cg acg,932,501,103,87,431,830,415,0.5386,0.8447,0.9629,0.8999
static closure_compiler wala tajs,932,501,146,123,431,787,408,0.5697,0.8425,0.9466,0.8915
static closure_compiler wala tajs acg,932,501,103,87,431,830,415,0.5386,0.8447,0.9629,0.8999
static closure_compiler wala acg,932,501,103,87,431,830,415,0.5386,0.8447,0.9629,0.8999
static closure_compiler npm_cg,932,501,146,123,431,787,408,0.5697,0.8425,0.9466,0.8915
static closure_compiler npm_cg tajs,932,501,146,123,431,787,408,0.5697,0.8425,0.9466,0.8915
static closure_compiler npm_cg tajs acg,932,501,103,87,431,830,415,0.5386,0.8447,0.9629,0.8999
static closure_compiler npm_cg acg,932,501,103,87,431,830,415,0.5386,0.8447,0.9629,0.8999
static closure_compiler tajs,932,501,146,123,431,787,408,0.5697,0.8425,0.9466,0.8915
static closure_compiler tajs acg,932,501,103,87,431,830,415,0.5386,0.8447,0.9629,0.8999
static closure_compiler acg,932,501,103,87,431,830,415,0.5386,0.8447,0.9629,0.8999
static wala,932,501,188,158,431,744,401,0.5998,0.8404,0.9304,0.8831
static wala npm_cg,932,501,188,158,431,744,401,0.5998,0.8404,0.9304,0.8831
static wala npm_cg tajs,932,501,188,158,431,744,401,0.5998,0.8404,0.9304,0.8831
static wala npm_cg tajs acg,932,501,121,104,431,811,414,0.5558,0.8595,0.9606,0.9072
static wala npm_cg acg,932,501,121,104,431,811,414,0.5558,0.8595,0.9606,0.9072
static wala tajs,932,501,188,158,431,744,401,0.5998,0.8404,0.9304,0.8831
static wala tajs acg,932,501,121,104,431,811,414,0.5558,0.8595,0.9606,0.9072
static wala acg,932,501,121,104,431,811,414,0.5558,0.8595,0.9606,0.9072
static npm_cg,932,501,188,158,431,744,401,0.5998,0.8404,0.9304,0.8831
static npm_cg tajs,932,501,188,158,431,744,401,0.5998,0.8404,0.9304,0.8831
static npm_cg tajs acg,932,501,121,104,431,811,414,0.5558,0.8595,0.9606,0.9072
static npm_cg acg,932,501,121,104,431,811,414,0.5558,0.8595,0.9606,0.9072
static tajs,932,501,188,158,431,744,401,0.5998,0.8404,0.9304,0.8831
static tajs acg,932,501,121,104,431,811,414,0.5558,0.8595,0.9606,0.9072
static acg,932,501,121,104,431,811,414,0.5558,0.8595,0.9606,0.9072
nativecalls,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
nativecalls closure_compiler,932,501,561,209,431,372,79,0.3090,0.3725,0.1833,0.2457
nativecalls closure_compiler wala,932,501,561,209,431,372,79,0.3090,0.3725,0.1833,0.2457
nativecalls closure_compiler wala npm_cg,932,501,561,209,431,372,79,0.3090,0.3725,0.1833,0.2457
nativecalls closure_compiler wala npm_cg tajs,932,501,561,209,431,372,79,0.3090,0.3725,0.1833,0.2457
nativecalls closure_compiler wala npm_cg tajs acg,932,501,232,143,431,701,342,0.5204,0.6164,0.7935,0.6938
nativecalls closure_compiler wala npm_cg acg,932,501,232,143,431,701,342,0.5204,0.6164,0.7935,0.6938
nativecalls closure_compiler wala tajs,932,501,561,209,431,372,79,0.3090,0.3725,0.1833,0.2457
nativecalls closure_compiler wala tajs acg,932,501,232,143,431,701,342,0.5204,0.6164,0.7935,0.6938
nativecalls closure_compiler wala acg,932,501,232,143,431,701,342,0.5204,0.6164,0.7935,0.6938
nativecalls closure_compiler npm_cg,932,501,561,209,431,372,79,0.3090,0.3725,0.1833,0.2457
nativecalls closure_compiler npm_cg tajs,932,501,561,209,431,372,79,0.3090,0.3725,0.1833,0.2457
nativecalls closure_compiler npm_cg tajs acg,932,501,232,143,431,701,342,0.5204,0.6164,0.7935,0.6938
nativecalls closure_compiler npm_cg acg,932,501,232,143,431,701,342,0.5204,0.6164,0.7935,0.6938
nativecalls closure_compiler tajs,932,501,561,209,431,372,79,0.3090,0.3725,0.1833,0.2457
nativecalls closure_compiler tajs acg,932,501,232,143,431,701,342,0.5204,0.6164,0.7935,0.6938
nativecalls closure_compiler acg,932,501,232,143,431,701,342,0.5204,0.6164,0.7935,0.6938
nativecalls wala,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
nativecalls wala npm_cg,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
nativecalls wala npm_cg tajs,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
nativecalls wala npm_cg tajs acg,932,501,286,181,431,646,326,0.5440,0.6329,0.7564,0.6891
nativecalls wala npm_cg acg,932,501,286,181,431,646,326,0.5440,0.6329,0.7564,0.6891
nativecalls wala tajs,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
nativecalls wala tajs acg,932,501,286,181,431,646,326,0.5440,0.6329,0.7564,0.6891
nativecalls wala acg,932,501,286,181,431,646,326,0.5440,0.6329,0.7564,0.6891
nativecalls npm_cg,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
nativecalls npm_cg tajs,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
nativecalls npm_cg tajs acg,932,501,286,181,431,646,326,0.5440,0.6329,0.7564,0.6891
nativecalls npm_cg acg,932,501,286,181,431,646,326,0.5440,0.6329,0.7564,0.6891
nativecalls tajs,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
nativecalls tajs acg,932,501,286,181,431,646,326,0.5440,0.6329,0.7564,0.6891
nativecalls acg,932,501,286,181,431,646,326,0.5440,0.6329,0.7564,0.6891
closure_compiler,932,501,571,218,431,362,78,0.3176,0.3818,0.1810,0.2456
closure_compiler wala,932,501,571,218,431,362,78,0.3176,0.3818,0.1810,0.2456
closure_compiler wala npm_cg,932,501,571,218,431,362,78,0.3176,0.3818,0.1810,0.2456
closure_compiler wala npm_cg tajs,932,501,571,218,431,362,78,0.3176,0.3818,0.1810,0.2456
closure_compiler wala npm_cg tajs acg,932,501,256,157,431,677,332,0.5247,0.6133,0.7703,0.6829
closure_compiler wala npm_cg acg,932,501,256,157,431,677,332,0.5247,0.6133,0.7703,0.6829
closure_compiler wala tajs,932,501,571,218,431,362,78,0.3176,0.3818,0.1810,0.2456
closure_compiler wala tajs acg,932,501,256,157,431,677,332,0.5247,0.6133,0.7703,0.6829
closure_compiler wala acg,932,501,256,157,431,677,332,0.5247,0.6133,0.7703,0.6829
closure_compiler npm_cg,932,501,571,218,431,362,78,0.3176,0.3818,0.1810,0.2456
closure_compiler npm_cg tajs,932,501,571,218,431,362,78,0.3176,0.3818,0.1810,0.2456
closure_compiler npm_cg tajs acg,932,501,256,157,431,677,332,0.5247,0.6133,0.7703,0.6829
closure_compiler npm_cg acg,932,501,256,157,431,677,332,0.5247,0.6133,0.7703,0.6829
closure_compiler tajs,932,501,571,218,431,362,78,0.3176,0.3818,0.1810,0.2456
closure_compiler tajs acg,932,501,256,157,431,677,332,0.5247,0.6133,0.7703,0.6829
closure_compiler acg,932,501,256,157,431,677,332,0.5247,0.6133,0.7703,0.6829
wala,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
wala npm_cg,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
wala npm_cg tajs,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
wala npm_cg tajs acg,932,501,310,195,431,622,316,0.5483,0.6290,0.7332,0.6771
wala npm_cg acg,932,501,310,195,431,622,316,0.5483,0.6290,0.7332,0.6771
wala tajs,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
wala tajs acg,932,501,310,195,431,622,316,0.5483,0.6290,0.7332,0.6771
wala acg,932,501,310,195,431,622,316,0.5483,0.6290,0.7332,0.6771
npm_cg,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
npm_cg tajs,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
npm_cg tajs acg,932,501,310,195,431,622,316,0.5483,0.6290,0.7332,0.6771
npm_cg acg,932,501,310,195,431,622,316,0.5483,0.6290,0.7332,0.6771
tajs,932,501,932,501,431,0,0,0.5376,0.5376,0.0000,0.0000
tajs acg,932,501,310,195,431,622,316,0.5483,0.6290,0.7332,0.6771
acg,932,501,310,195,431,622,316,0.5483,0.6290,0.7332,0.6771
