Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,867,462,302,192,405,565,295,0.5617,0.6358,0.7284,0.6789
static nativecalls,867,462,289,184,405,578,300,0.5582,0.6367,0.7407,0.6848
static nativecalls closure_compiler,867,462,275,175,405,594,305,0.5536,0.6364,0.7531,0.6898
static nativecalls closure_compiler wala,867,462,275,175,405,594,305,0.5536,0.6364,0.7531,0.6898
static nativecalls closure_compiler wala npm_cg,867,462,275,175,405,594,305,0.5536,0.6364,0.7531,0.6898
static nativecalls closure_compiler wala npm_cg tajs,867,462,275,175,405,594,305,0.5536,0.6364,0.7531,0.6898
static nativecalls closure_compiler wala npm_cg tajs acg,867,462,218,134,405,651,321,0.5248,0.6147,0.7926,0.6924
static nativecalls closure_compiler wala npm_cg acg,867,462,218,134,405,651,321,0.5248,0.6147,0.7926,0.6924
static nativecalls closure_compiler wala tajs,867,462,275,175,405,594,305,0.5536,0.6364,0.7531,0.6898
static nativecalls closure_compiler wala tajs acg,867,462,218,134,405,651,321,0.5248,0.6147,0.7926,0.6924
static nativecalls closure_compiler wala acg,867,462,218,134,405,651,321,0.5248,0.6147,0.7926,0.6924
static nativecalls closure_compiler npm_cg,867,462,275,175,405,594,305,0.5536,0.6364,0.7531,0.6898
static nativecalls closure_compiler npm_cg tajs,867,462,275,175,405,594,305,0.5536,0.6364,0.7531,0.6898
static nativecalls closure_compiler npm_cg tajs acg,867,462,218,134,405,651,321,0.5248,0.6147,0.7926,0.6924
static nativecalls closure_compiler npm_cg acg,867,462,218,134,405,651,321,0.5248,0.6147,0.7926,0.6924
static nativecalls closure_compiler tajs,867,462,275,175,405,594,305,0.5536,0.6364,0.7531,0.6898
static nativecalls closure_compiler tajs acg,867,462,218,134,405,651,321,0.5248,0.6147,0.7926,0.6924
static nativecalls closure_compiler acg,867,462,218,134,405,651,321,0.5248,0.6147,0.7926,0.6924
static nativecalls wala,867,462,289,184,405,578,300,0.5582,0.6367,0.7407,0.6848
static nativecalls wala npm_cg,867,462,289,184,405,578,300,0.5582,0.6367,0.7407,0.6848
static nativecalls wala npm_cg tajs,867,462,289,184,405,578,300,0.5582,0.6367,0.7407,0.6848
static nativecalls wala npm_cg tajs acg,867,462,218,134,405,649,321,0.5248,0.6147,0.7926,0.6924
static nativecalls wala npm_cg acg,867,462,218,134,405,649,321,0.5248,0.6147,0.7926,0.6924
static nativecalls wala tajs,867,462,289,184,405,578,300,0.5582,0.6367,0.7407,0.6848
static nativecalls wala tajs acg,867,462,218,134,405,649,321,0.5248,0.6147,0.7926,0.6924
static nativecalls wala acg,867,462,218,134,405,649,321,0.5248,0.6147,0.7926,0.6924
static nativecalls npm_cg,867,462,289,184,405,578,300,0.5582,0.6367,0.7407,0.6848
static nativecalls npm_cg tajs,867,462,289,184,405,578,300,0.5582,0.6367,0.7407,0.6848
static nativecalls npm_cg tajs acg,867,462,218,134,405,649,321,0.5248,0.6147,0.7926,0.6924
static nativecalls npm_cg acg,867,462,218,134,405,649,321,0.5248,0.6147,0.7926,0.6924
static nativecalls tajs,867,462,289,184,405,578,300,0.5582,0.6367,0.7407,0.6848
static nativecalls tajs acg,867,462,218,134,405,649,321,0.5248,0.6147,0.7926,0.6924
static nativecalls acg,867,462,218,134,405,649,321,0.5248,0.6147,0.7926,0.6924
static closure_compiler,867,462,297,191,405,572,299,0.5652,0.6431,0.7383,0.6874
static closure_compiler wala,867,462,297,191,405,572,299,0.5652,0.6431,0.7383,0.6874
static closure_compiler wala npm_cg,867,462,297,191,405,572,299,0.5652,0.6431,0.7383,0.6874
