Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static nativecalls,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls closure_compiler,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler wala,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler wala npm_cg,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler wala npm_cg tajs,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler wala npm_cg tajs acg,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler wala npm_cg acg,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler wala tajs,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler wala tajs acg,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler wala acg,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler npm_cg,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler npm_cg tajs,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler npm_cg tajs acg,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler npm_cg acg,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler tajs,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler tajs acg,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls closure_compiler acg,2033,1007,1348,630,1026,685,308,0.4614,0.4674,0.3002,0.3656
static nativecalls wala,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls wala npm_cg,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls wala npm_cg tajs,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls wala npm_cg tajs acg,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls wala npm_cg acg,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls wala tajs,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls wala tajs acg,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls wala acg,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls npm_cg,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls npm_cg tajs,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls npm_cg tajs acg,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls npm_cg acg,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls tajs,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls tajs acg,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static nativecalls acg,2033,1007,1414,657,1026,619,269,0.4555,0.4646,0.2622,0.3352
static closure_compiler,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler wala,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler wala npm_cg,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler wala npm_cg tajs,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler wala npm_cg tajs acg,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler wala npm_cg acg,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler wala tajs,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler wala tajs acg,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler wala acg,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler npm_cg,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler npm_cg tajs,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler npm_cg tajs acg,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler npm_cg acg,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler tajs,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler tajs acg,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static closure_compiler acg,2033,1007,1414,667,1026,619,279,0.4653,0.4717,0.2719,0.3450
static wala,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static wala npm_cg,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static wala npm_cg tajs,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static wala npm_cg tajs acg,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static wala npm_cg acg,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static wala tajs,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static wala tajs acg,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static wala acg,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static npm_cg,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static npm_cg tajs,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static npm_cg tajs acg,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static npm_cg acg,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static tajs,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static tajs acg,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
static acg,2033,1007,1438,670,1026,595,258,0.4565,0.4659,0.2515,0.3266
nativecalls,2033,1007,2033,1007,1026,0,0,0.4953,0.4953,0.0000,0.0000
nativecalls closure_compiler,2033,1007,2033,1007,1026,0,0,0.4953,0.4953,0.0000,0.0000
nativecalls closure_compiler wala,2033,1007,2033,1007,1026,0,0,0.4953,0.4953,0.0000,0.0000
nativecalls closure_compiler wala npm_cg,2033,1007,2033,1007,1026,0,0,0.4953,0.4953,0.0000,0.0000
nativecalls closure_compiler wala npm_cg tajs,2033,1007,2033,1007,1026,0,0,0.4953,0.4953,0.0000,0.0000
