Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1848,904,1263,574,944,585,255,0.4486,0.4545,0.2701,0.3389
static nativecalls,1848,904,1240,561,944,608,265,0.4470,0.4524,0.2807,0.3465
static nativecalls closure_compiler,1848,904,1212,550,944,636,282,0.4502,0.4538,0.2987,0.3603
static nativecalls closure_compiler wala,1848,904,1212,550,944,636,282,0.4502,0.4538,0.2987,0.3603
static nativecalls closure_compiler wala npm_cg,1848,904,1212,550,944,636,282,0.4502,0.4538,0.2987,0.3603
static nativecalls closure_compiler wala npm_cg tajs,1848,904,1212,550,944,636,282,0.4502,0.4538,0.2987,0.3603
static nativecalls closure_compiler wala npm_cg tajs acg,1848,904,542,251,944,1306,653,0.4892,0.4631,0.6917,0.5548
static nativecalls closure_compiler wala npm_cg acg,1848,904,542,251,944,1306,653,0.4892,0.4631,0.6917,0.5548
static nativecalls closure_compiler wala tajs,1848,904,1212,550,944,636,282,0.4502,0.4538,0.2987,0.3603
static nativecalls closure_compiler wala tajs acg,1848,904,542,251,944,1306,653,0.4892,0.4631,0.6917,0.5548
static nativecalls closure_compiler wala acg,1848,904,542,251,944,1306,653,0.4892,0.4631,0.6917,0.5548
static nativecalls closure_compiler npm_cg,1848,904,1212,550,944,636,282,0.4502,0.4538,0.2987,0.3603
static nativecalls closure_compiler npm_cg tajs,1848,904,1212,550,944,636,282,0.4502,0.4538,0.2987,0.3603
static nativecalls closure_compiler npm_cg tajs acg,1848,904,542,251,944,1306,653,0.4892,0.4631,0.6917,0.5548
static nativecalls closure_compiler npm_cg acg,1848,904,542,251,944,1306,653,0.4892,0.4631,0.6917,0.5548
static nativecalls closure_compiler tajs,1848,904,1212,550,944,636,282,0.4502,0.4538,0.2987,0.3603
static nativecalls closure_compiler tajs acg,1848,904,542,251,944,1306,653,0.4892,0.4631,0.6917,0.5548
static nativecalls closure_compiler acg,1848,904,542,251,944,1306,653,0.4892,0.4631,0.6917,0.5548
static nativecalls wala,1848,904,1240,561,944,608,265,0.4470,0.4524,0.2807,0.3465
static nativecalls wala npm_cg,1848,904,1240,561,944,608,265,0.4470,0.4524,0.2807,0.3465
static nativecalls wala npm_cg tajs,1848,904,1240,561,944,608,265,0.4470,0.4524,0.2807,0.3465
static nativecalls wala npm_cg tajs acg,1848,904,596,269,944,1252,617,0.4794,0.4513,0.6536,0.5340
static nativecalls wala npm_cg acg,1848,904,596,269,944,1252,617,0.4794,0.4513,0.6536,0.5340
static nativecalls wala tajs,1848,904,1240,561,944,608,265,0.4470,0.4524,0.2807,0.3465
