Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,170,45,63,25,125,107,87,0.65882352941176469674,0.39682539682539680337,0.55555555555555558023,0.46296296296296296502
static nativecalls,170,45,63,25,125,107,87,0.65882352941176469674,0.39682539682539680337,0.55555555555555558023,0.46296296296296296502
static nativecalls dynamic,170,45,35,25,125,135,115,0.82352941176470584317,0.71428571428571430157,0.55555555555555558023,0.62500000000000011102
static nativecalls dynamic closure_compiler,170,45,35,25,125,135,115,0.82352941176470584317,0.71428571428571430157,0.55555555555555558023,0.62500000000000011102
static nativecalls dynamic closure_compiler npm_cg,170,45,29,22,125,141,118,0.82352941176470584317,0.75862068965517237551,0.48888888888888887285,0.59459459459459451658
static nativecalls dynamic closure_compiler npm_cg tajs,170,45,29,22,125,141,118,0.82352941176470584317,0.75862068965517237551,0.48888888888888887285,0.59459459459459451658
static nativecalls dynamic closure_compiler npm_cg tajs acg,170,45,23,20,125,147,122,0.83529411764705885357,0.86956521739130432369,0.44444444444444441977,0.58823529411764707842
static nativecalls dynamic closure_compiler npm_cg acg,170,45,23,20,125,147,122,0.83529411764705885357,0.86956521739130432369,0.44444444444444441977,0.58823529411764707842
static nativecalls dynamic closure_compiler tajs,170,45,33,25,125,137,117,0.83529411764705885357,0.75757575757575756903,0.55555555555555558023,0.64102564102564107973
static nativecalls dynamic closure_compiler tajs acg,170,45,23,20,125,147,122,0.83529411764705885357,0.86956521739130432369,0.44444444444444441977,0.58823529411764707842
static nativecalls dynamic closure_compiler acg,170,45,23,20,125,147,122,0.83529411764705885357,0.86956521739130432369,0.44444444444444441977,0.58823529411764707842
static nativecalls dynamic npm_cg,170,45,29,22,125,141,118,0.82352941176470584317,0.75862068965517237551,0.48888888888888887285,0.59459459459459451658
static nativecalls dynamic npm_cg tajs,170,45,29,22,125,141,118,0.82352941176470584317,0.75862068965517237551,0.48888888888888887285,0.59459459459459451658
static nativecalls dynamic npm_cg tajs acg,170,45,23,20,125,147,122,0.83529411764705885357,0.86956521739130432369,0.44444444444444441977,0.58823529411764707842
static nativecalls dynamic npm_cg acg,170,45,23,20,125,147,122,0.83529411764705885357,0.86956521739130432369,0.44444444444444441977,0.58823529411764707842
static nativecalls dynamic tajs,170,45,33,25,125,137,117,0.83529411764705885357,0.75757575757575756903,0.55555555555555558023,0.64102564102564107973
static nativecalls dynamic tajs acg,170,45,23,20,125,147,122,0.83529411764705885357,0.86956521739130432369,0.44444444444444441977,0.58823529411764707842
static nativecalls dynamic acg,170,45,23,20,125,147,122,0.83529411764705885357,0.86956521739130432369,0.44444444444444441977,0.58823529411764707842
static nativecalls closure_compiler,170,45,63,25,125,107,87,0.65882352941176469674,0.39682539682539680337,0.55555555555555558023,0.46296296296296296502
static nativecalls closure_compiler npm_cg,170,45,53,22,125,117,94,0.68235294117647060652,0.41509433962264152829,0.48888888888888887285,0.44897959183673474826
static nativecalls closure_compiler npm_cg tajs,170,45,53,22,125,117,94,0.68235294117647060652,0.41509433962264152829,0.48888888888888887285,0.44897959183673474826
static nativecalls closure_compiler npm_cg tajs acg,170,45,45,20,125,125,100,0.70588235294117651630,0.44444444444444441977,0.44444444444444441977,0.44444444444444441977
static nativecalls closure_compiler npm_cg acg,170,45,45,20,125,125,100,0.70588235294117651630,0.44444444444444441977,0.44444444444444441977,0.44444444444444441977
static nativecalls closure_compiler tajs,170,45,61,25,125,109,89,0.67058823529411759612,0.40983606557377050272,0.55555555555555558023,0.47169811320754717610
static nativecalls closure_compiler tajs acg,170,45,46,20,125,124,99,0.69999999999999995559,0.43478260869565216185,0.44444444444444441977,0.43956043956043960863
static nativecalls closure_compiler acg,170,45,46,20,125,124,99,0.69999999999999995559,0.43478260869565216185,0.44444444444444441977,0.43956043956043960863
static nativecalls npm_cg,170,45,53,22,125,117,94,0.68235294117647060652,0.41509433962264152829,0.48888888888888887285,0.44897959183673474826
static nativecalls npm_cg tajs,170,45,53,22,125,117,94,0.68235294117647060652,0.41509433962264152829,0.48888888888888887285,0.44897959183673474826
static nativecalls npm_cg tajs acg,170,45,45,20,125,125,100,0.70588235294117651630,0.44444444444444441977,0.44444444444444441977,0.44444444444444441977
static nativecalls npm_cg acg,170,45,45,20,125,125,100,0.70588235294117651630,0.44444444444444441977,0.44444444444444441977,0.44444444444444441977
static nativecalls tajs,170,45,61,25,125,109,89,0.67058823529411759612,0.40983606557377050272,0.55555555555555558023,0.47169811320754717610
static nativecalls tajs acg,170,45,46,20,125,124,99,0.69999999999999995559,0.43478260869565216185,0.44444444444444441977,0.43956043956043960863
static nativecalls acg,170,45,46,20,125,124,99,0.69999999999999995559,0.43478260869565216185,0.44444444444444441977,0.43956043956043960863
static dynamic,170,45,35,25,125,135,115,0.82352941176470584317,0.71428571428571430157,0.55555555555555558023,0.62500000000000011102
static dynamic closure_compiler,170,45,35,25,125,135,115,0.82352941176470584317,0.71428571428571430157,0.55555555555555558023,0.62500000000000011102
static dynamic closure_compiler npm_cg,170,45,29,22,125,141,118,0.82352941176470584317,0.75862068965517237551,0.48888888888888887285,0.59459459459459451658
static dynamic closure_compiler npm_cg tajs,170,45,29,22,125,141,118,0.82352941176470584317,0.75862068965517237551,0.48888888888888887285,0.59459459459459451658
