Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls closure_compiler,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls closure_compiler wala,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls closure_compiler wala npm_cg,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls closure_compiler wala npm_cg tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls closure_compiler wala npm_cg tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls closure_compiler wala npm_cg acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls closure_compiler wala tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls closure_compiler wala tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls closure_compiler wala acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls closure_compiler npm_cg,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls closure_compiler npm_cg tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls closure_compiler npm_cg tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls closure_compiler npm_cg acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls closure_compiler tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls closure_compiler tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls closure_compiler acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls wala,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls wala npm_cg,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls wala npm_cg tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls wala npm_cg tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls wala npm_cg acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls wala tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls wala tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls wala acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls npm_cg,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls npm_cg tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls npm_cg tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls npm_cg acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls tajs,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
static nativecalls tajs acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static nativecalls acg,16,4,2,1,12,14,11,0.7500,0.5000,0.9167,0.6471
static closure_compiler,16,4,9,3,12,7,6,0.5625,0.3333,0.5000,0.4000
