Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,128,48,45,27,80,83,62,0.69531250000000000000,0.59999999999999997780,0.56250000000000000000,0.58064516129032250902
static nativecalls,128,48,45,27,80,83,62,0.69531250000000000000,0.59999999999999997780,0.56250000000000000000,0.58064516129032250902
static nativecalls dynamic,128,48,34,27,80,94,73,0.78125000000000000000,0.79411764705882348370,0.56250000000000000000,0.65853658536585368832
static nativecalls dynamic closure_compiler,128,48,34,27,80,94,73,0.78125000000000000000,0.79411764705882348370,0.56250000000000000000,0.65853658536585368832
static nativecalls dynamic closure_compiler npm_cg,128,48,32,26,80,96,74,0.78125000000000000000,0.81250000000000000000,0.54166666666666662966,0.65000000000000002220
static nativecalls dynamic closure_compiler npm_cg tajs,128,48,32,26,80,96,74,0.78125000000000000000,0.81250000000000000000,0.54166666666666662966,0.65000000000000002220
static nativecalls dynamic closure_compiler npm_cg tajs acg,128,48,27,25,80,101,78,0.80468750000000000000,0.92592592592592593004,0.52083333333333337034,0.66666666666666674068
static nativecalls dynamic closure_compiler npm_cg acg,128,48,27,25,80,101,78,0.80468750000000000000,0.92592592592592593004,0.52083333333333337034,0.66666666666666674068
static nativecalls dynamic closure_compiler tajs,128,48,34,27,80,94,73,0.78125000000000000000,0.79411764705882348370,0.56250000000000000000,0.65853658536585368832
static nativecalls dynamic closure_compiler tajs acg,128,48,27,25,80,101,78,0.80468750000000000000,0.92592592592592593004,0.52083333333333337034,0.66666666666666674068
static nativecalls dynamic closure_compiler acg,128,48,27,25,80,101,78,0.80468750000000000000,0.92592592592592593004,0.52083333333333337034,0.66666666666666674068
static nativecalls dynamic npm_cg,128,48,32,26,80,96,74,0.78125000000000000000,0.81250000000000000000,0.54166666666666662966,0.65000000000000002220
static nativecalls dynamic npm_cg tajs,128,48,32,26,80,96,74,0.78125000000000000000,0.81250000000000000000,0.54166666666666662966,0.65000000000000002220
static nativecalls dynamic npm_cg tajs acg,128,48,27,25,80,101,78,0.80468750000000000000,0.92592592592592593004,0.52083333333333337034,0.66666666666666674068
static nativecalls dynamic npm_cg acg,128,48,27,25,80,101,78,0.80468750000000000000,0.92592592592592593004,0.52083333333333337034,0.66666666666666674068
static nativecalls dynamic tajs,128,48,34,27,80,94,73,0.78125000000000000000,0.79411764705882348370,0.56250000000000000000,0.65853658536585368832
static nativecalls dynamic tajs acg,128,48,27,25,80,101,78,0.80468750000000000000,0.92592592592592593004,0.52083333333333337034,0.66666666666666674068
static nativecalls dynamic acg,128,48,27,25,80,101,78,0.80468750000000000000,0.92592592592592593004,0.52083333333333337034,0.66666666666666674068
static nativecalls closure_compiler,128,48,45,27,80,83,62,0.69531250000000000000,0.59999999999999997780,0.56250000000000000000,0.58064516129032250902
static nativecalls closure_compiler npm_cg,128,48,40,26,80,88,66,0.71875000000000000000,0.65000000000000002220,0.54166666666666662966,0.59090909090909082835
static nativecalls closure_compiler npm_cg tajs,128,48,40,26,80,88,66,0.71875000000000000000,0.65000000000000002220,0.54166666666666662966,0.59090909090909082835
static nativecalls closure_compiler npm_cg tajs acg,128,48,35,25,80,93,70,0.74218750000000000000,0.71428571428571430157,0.52083333333333337034,0.60240963855421680861
static nativecalls closure_compiler npm_cg acg,128,48,35,25,80,93,70,0.74218750000000000000,0.71428571428571430157,0.52083333333333337034,0.60240963855421680861
static nativecalls closure_compiler tajs,128,48,45,27,80,83,62,0.69531250000000000000,0.59999999999999997780,0.56250000000000000000,0.58064516129032250902
static nativecalls closure_compiler tajs acg,128,48,36,25,80,92,69,0.73437500000000000000,0.69444444444444441977,0.52083333333333337034,0.59523809523809534383
static nativecalls closure_compiler acg,128,48,36,25,80,92,69,0.73437500000000000000,0.69444444444444441977,0.52083333333333337034,0.59523809523809534383
static nativecalls npm_cg,128,48,40,26,80,88,66,0.71875000000000000000,0.65000000000000002220,0.54166666666666662966,0.59090909090909082835
static nativecalls npm_cg tajs,128,48,40,26,80,88,66,0.71875000000000000000,0.65000000000000002220,0.54166666666666662966,0.59090909090909082835
static nativecalls npm_cg tajs acg,128,48,35,25,80,93,70,0.74218750000000000000,0.71428571428571430157,0.52083333333333337034,0.60240963855421680861
static nativecalls npm_cg acg,128,48,35,25,80,93,70,0.74218750000000000000,0.71428571428571430157,0.52083333333333337034,0.60240963855421680861
static nativecalls tajs,128,48,45,27,80,83,62,0.69531250000000000000,0.59999999999999997780,0.56250000000000000000,0.58064516129032250902
static nativecalls tajs acg,128,48,36,25,80,92,69,0.73437500000000000000,0.69444444444444441977,0.52083333333333337034,0.59523809523809534383
static nativecalls acg,128,48,36,25,80,92,69,0.73437500000000000000,0.69444444444444441977,0.52083333333333337034,0.59523809523809534383
static dynamic,128,48,34,27,80,94,73,0.78125000000000000000,0.79411764705882348370,0.56250000000000000000,0.65853658536585368832
