Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static nativecalls,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
static nativecalls closure_compiler,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler wala,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler wala npm_cg,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler wala npm_cg tajs,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler wala npm_cg tajs acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler wala npm_cg acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler wala tajs,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler wala tajs acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler wala acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler npm_cg,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler npm_cg tajs,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler npm_cg tajs acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler npm_cg acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler tajs,999,754,296,255,245,704,204,0.4595,0.8615,0.8327,0.8468
static nativecalls closure_compiler tajs acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls closure_compiler acg,999,754,249,216,245,751,212,0.4284,0.8675,0.8653,0.8664
static nativecalls wala,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
static nativecalls wala npm_cg,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
static nativecalls wala npm_cg tajs,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
static nativecalls wala npm_cg tajs acg,999,754,273,239,245,726,211,0.4505,0.8755,0.8612,0.8683
static nativecalls wala npm_cg acg,999,754,273,239,245,726,211,0.4505,0.8755,0.8612,0.8683
static nativecalls wala tajs,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
static nativecalls wala tajs acg,999,754,273,239,245,726,211,0.4505,0.8755,0.8612,0.8683
static nativecalls wala acg,999,754,273,239,245,726,211,0.4505,0.8755,0.8612,0.8683
static nativecalls npm_cg,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
static nativecalls npm_cg tajs,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
static nativecalls npm_cg tajs acg,999,754,273,239,245,726,211,0.4505,0.8755,0.8612,0.8683
static nativecalls npm_cg acg,999,754,273,239,245,726,211,0.4505,0.8755,0.8612,0.8683
static nativecalls tajs,999,754,364,312,245,635,193,0.5055,0.8571,0.7878,0.8210
static nativecalls tajs acg,999,754,273,239,245,726,211,0.4505,0.8755,0.8612,0.8683
static nativecalls acg,999,754,273,239,245,726,211,0.4505,0.8755,0.8612,0.8683
static closure_compiler,999,754,311,269,245,689,203,0.4725,0.8650,0.8286,0.8464
static closure_compiler wala,999,754,311,269,245,689,203,0.4725,0.8650,0.8286,0.8464
static closure_compiler wala npm_cg,999,754,311,269,245,689,203,0.4725,0.8650,0.8286,0.8464
static closure_compiler wala npm_cg tajs,999,754,311,269,245,689,203,0.4725,0.8650,0.8286,0.8464
static closure_compiler wala npm_cg tajs acg,999,754,264,230,245,736,211,0.4414,0.8712,0.8612,0.8662
static closure_compiler wala npm_cg acg,999,754,264,230,245,736,211,0.4414,0.8712,0.8612,0.8662
static closure_compiler wala tajs,999,754,311,269,245,689,203,0.4725,0.8650,0.8286,0.8464
static closure_compiler wala tajs acg,999,754,264,230,245,736,211,0.4414,0.8712,0.8612,0.8662
static closure_compiler wala acg,999,754,264,230,245,736,211,0.4414,0.8712,0.8612,0.8662
static closure_compiler npm_cg,999,754,311,269,245,689,203,0.4725,0.8650,0.8286,0.8464
static closure_compiler npm_cg tajs,999,754,311,269,245,689,203,0.4725,0.8650,0.8286,0.8464
static closure_compiler npm_cg tajs acg,999,754,264,230,245,736,211,0.4414,0.8712,0.8612,0.8662
static closure_compiler npm_cg acg,999,754,264,230,245,736,211,0.4414,0.8712,0.8612,0.8662
static closure_compiler tajs,999,754,311,269,245,689,203,0.4725,0.8650,0.8286,0.8464
static closure_compiler tajs acg,999,754,264,230,245,736,211,0.4414,0.8712,0.8612,0.8662
static closure_compiler acg,999,754,264,230,245,736,211,0.4414,0.8712,0.8612,0.8662
static wala,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static wala npm_cg,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static wala npm_cg tajs,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static wala npm_cg tajs acg,999,754,288,253,245,711,210,0.4635,0.8785,0.8571,0.8677
static wala npm_cg acg,999,754,288,253,245,711,210,0.4635,0.8785,0.8571,0.8677
static wala tajs,999,754,380,327,245,619,192,0.5195,0.8605,0.7837,0.8203
static wala tajs acg,999,754,288,253,245,711,210,0.4635,0.8785,0.8571,0.8677
static wala acg,999,754,288,253,245,711,210,0.4635,0.8785,0.8571,0.8677
