Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,130,51,46,28,79,84,61,0.68461538461538462563,0.60869565217391308209,0.54901960784313730279,0.57731958762886603775
static nativecalls,130,51,46,28,79,84,61,0.68461538461538462563,0.60869565217391308209,0.54901960784313730279,0.57731958762886603775
static nativecalls dynamic,130,51,35,28,79,95,72,0.76923076923076927347,0.80000000000000004441,0.54901960784313730279,0.65116279069767446508
static nativecalls dynamic closure_compiler,130,51,35,28,79,95,72,0.76923076923076927347,0.80000000000000004441,0.54901960784313730279,0.65116279069767446508
static nativecalls dynamic closure_compiler npm_cg,130,51,32,26,79,98,73,0.76153846153846149747,0.81250000000000000000,0.50980392156862741615,0.62650602409638556090
static nativecalls dynamic closure_compiler npm_cg tajs,130,51,32,26,79,98,73,0.76153846153846149747,0.81250000000000000000,0.50980392156862741615,0.62650602409638556090
static nativecalls dynamic closure_compiler npm_cg tajs acg,130,51,27,25,79,103,77,0.78461538461538460343,0.92592592592592593004,0.49019607843137252834,0.64102564102564107973
static nativecalls dynamic closure_compiler npm_cg acg,130,51,27,25,79,103,77,0.78461538461538460343,0.92592592592592593004,0.49019607843137252834,0.64102564102564107973
static nativecalls dynamic closure_compiler tajs,130,51,35,28,79,95,72,0.76923076923076927347,0.80000000000000004441,0.54901960784313730279,0.65116279069767446508
static nativecalls dynamic closure_compiler tajs acg,130,51,28,26,79,102,77,0.79230769230769226841,0.92857142857142860315,0.50980392156862741615,0.65822784810126577781
static nativecalls dynamic closure_compiler acg,130,51,28,26,79,102,77,0.79230769230769226841,0.92857142857142860315,0.50980392156862741615,0.65822784810126577781
static nativecalls dynamic npm_cg,130,51,32,26,79,98,73,0.76153846153846149747,0.81250000000000000000,0.50980392156862741615,0.62650602409638556090
static nativecalls dynamic npm_cg tajs,130,51,32,26,79,98,73,0.76153846153846149747,0.81250000000000000000,0.50980392156862741615,0.62650602409638556090
static nativecalls dynamic npm_cg tajs acg,130,51,27,25,79,103,77,0.78461538461538460343,0.92592592592592593004,0.49019607843137252834,0.64102564102564107973
static nativecalls dynamic npm_cg acg,130,51,27,25,79,103,77,0.78461538461538460343,0.92592592592592593004,0.49019607843137252834,0.64102564102564107973
static nativecalls dynamic tajs,130,51,35,28,79,95,72,0.76923076923076927347,0.80000000000000004441,0.54901960784313730279,0.65116279069767446508
static nativecalls dynamic tajs acg,130,51,28,26,79,102,77,0.79230769230769226841,0.92857142857142860315,0.50980392156862741615,0.65822784810126577781
static nativecalls dynamic acg,130,51,28,26,79,102,77,0.79230769230769226841,0.92857142857142860315,0.50980392156862741615,0.65822784810126577781
static nativecalls closure_compiler,130,51,46,28,79,84,61,0.68461538461538462563,0.60869565217391308209,0.54901960784313730279,0.57731958762886603775
static nativecalls closure_compiler npm_cg,130,51,41,26,79,89,64,0.69230769230769229061,0.63414634146341464227,0.50980392156862741615,0.56521739130434767162
static nativecalls closure_compiler npm_cg tajs,130,51,41,26,79,89,64,0.69230769230769229061,0.63414634146341464227,0.50980392156862741615,0.56521739130434767162
static nativecalls closure_compiler npm_cg tajs acg,130,51,36,25,79,94,68,0.71538461538461539657,0.69444444444444441977,0.49019607843137252834,0.57471264367816088381
static nativecalls closure_compiler npm_cg acg,130,51,36,25,79,94,68,0.71538461538461539657,0.69444444444444441977,0.49019607843137252834,0.57471264367816088381
static nativecalls closure_compiler tajs,130,51,46,28,79,84,61,0.68461538461538462563,0.60869565217391308209,0.54901960784313730279,0.57731958762886603775
static nativecalls closure_compiler tajs acg,130,51,37,26,79,93,68,0.72307692307692306155,0.70270270270270274171,0.50980392156862741615,0.59090909090909093937
static nativecalls closure_compiler acg,130,51,37,26,79,93,68,0.72307692307692306155,0.70270270270270274171,0.50980392156862741615,0.59090909090909093937
static nativecalls npm_cg,130,51,41,26,79,89,64,0.69230769230769229061,0.63414634146341464227,0.50980392156862741615,0.56521739130434767162
static nativecalls npm_cg tajs,130,51,41,26,79,89,64,0.69230769230769229061,0.63414634146341464227,0.50980392156862741615,0.56521739130434767162
