Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1440,831,678,607,609,762,151,0.52638888888888890616,0.89528023598820061224,0.49835796387520525652,0.64029535864978892601
static nativecalls,1440,831,678,607,609,762,151,0.52638888888888890616,0.89528023598820061224,0.49835796387520525652,0.64029535864978892601
static nativecalls dynamic,1440,831,468,464,609,972,218,0.47361111111111109384,0.99145299145299148336,0.38095238095238093123,0.55041518386714116673
static nativecalls dynamic closure_compiler,1440,831,397,395,609,1044,220,0.42708333333333331483,0.99496221662468509184,0.32403609515996717461,0.48886138613861390700
static nativecalls dynamic closure_compiler npm_cg,1440,831,371,369,609,1070,220,0.40902777777777776791,0.99460916442048519226,0.30270713699753898362,0.46415094339622636754
static nativecalls dynamic closure_compiler npm_cg tajs,1440,831,369,367,609,1072,220,0.40763888888888888395,0.99457994579945796509,0.30106644790812142620,0.46221662468513852184
static nativecalls dynamic closure_compiler npm_cg tajs acg,1440,831,344,342,609,1097,220,0.39027777777777777901,0.99418604651162789665,0.28055783429040198618,0.43761996161228405855
static nativecalls dynamic closure_compiler npm_cg acg,1440,831,344,342,609,1097,220,0.39027777777777777901,0.99418604651162789665,0.28055783429040198618,0.43761996161228405855
static nativecalls dynamic closure_compiler tajs,1440,831,395,393,609,1046,220,0.42569444444444443088,0.99493670886075946669,0.32239540607054961718,0.48698884758364308079
static nativecalls dynamic closure_compiler tajs acg,1440,831,344,342,609,1097,220,0.39027777777777777901,0.99418604651162789665,0.28055783429040198618,0.43761996161228405855
static nativecalls dynamic closure_compiler acg,1440,831,344,342,609,1097,220,0.39027777777777777901,0.99418604651162789665,0.28055783429040198618,0.43761996161228405855
static nativecalls dynamic npm_cg,1440,831,405,402,609,1035,219,0.43125000000000002220,0.99259259259259258190,0.33004926108374382787,0.49537892791127541292
static nativecalls dynamic npm_cg tajs,1440,831,403,400,609,1037,219,0.42986111111111113825,0.99255583126550872564,0.32840722495894908439,0.49352251696483651067
static nativecalls dynamic npm_cg tajs acg,1440,831,359,357,609,1081,220,0.40069444444444446418,0.99442896935933144942,0.29310344827586204408,0.45275840202916933785
static nativecalls dynamic npm_cg acg,1440,831,359,357,609,1081,220,0.40069444444444446418,0.99442896935933144942,0.29310344827586204408,0.45275840202916933785
static nativecalls dynamic tajs,1440,831,466,462,609,974,218,0.47222222222222220989,0.99141630901287558508,0.37931034482758618775,0.54869358669833734332
static nativecalls dynamic tajs acg,1440,831,360,358,609,1080,220,0.40138888888888890616,0.99444444444444446418,0.29392446633825941582,0.45373891001267419032
static nativecalls dynamic acg,1440,831,360,358,609,1080,220,0.40138888888888890616,0.99444444444444446418,0.29392446633825941582,0.45373891001267419032
static nativecalls closure_compiler,1440,831,566,510,609,875,166,0.46944444444444444198,0.90106007067137805500,0.41837571780147664313,0.57142857142857150787
static nativecalls closure_compiler npm_cg,1440,831,525,474,609,916,171,0.44791666666666668517,0.90285714285714280258,0.38884331419196060953,0.54357798165137605206
static nativecalls closure_compiler npm_cg tajs,1440,831,522,471,609,919,171,0.44583333333333335924,0.90229885057471259646,0.38638228055783430115,0.54106835152211363305
static nativecalls closure_compiler npm_cg tajs acg,1440,831,491,443,609,950,174,0.42847222222222219878,0.90224032586558045033,0.36341263330598849723,0.51812865497076010524
static nativecalls closure_compiler npm_cg acg,1440,831,491,443,609,950,174,0.42847222222222219878,0.90224032586558045033,0.36341263330598849723,0.51812865497076010524
static nativecalls closure_compiler tajs,1440,831,562,506,609,879,166,0.46666666666666667407,0.90035587188612098419,0.41509433962264152829,0.56822010106681641872
static nativecalls closure_compiler tajs acg,1440,831,492,443,609,949,173,0.42777777777777775681,0.90040650406504063596,0.36341263330598849723,0.51782583284628880271
static nativecalls closure_compiler acg,1440,831,492,443,609,949,173,0.42777777777777775681,0.90040650406504063596,0.36341263330598849723,0.51782583284628880271
