Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1243,779,431,332,464,812,365,0.5607,0.7703,0.7866,0.7784
static nativecalls,1243,779,422,326,464,821,368,0.5583,0.7725,0.7931,0.7827
static nativecalls closure_compiler,1243,779,329,287,464,915,422,0.5704,0.8723,0.9095,0.8905
static nativecalls closure_compiler wala,1243,779,329,287,464,915,422,0.5704,0.8723,0.9095,0.8905
static nativecalls closure_compiler wala npm_cg,1243,779,329,287,464,915,422,0.5704,0.8723,0.9095,0.8905
static nativecalls closure_compiler wala npm_cg tajs,1243,779,329,287,464,915,422,0.5704,0.8723,0.9095,0.8905
static nativecalls closure_compiler wala npm_cg tajs acg,1243,779,279,244,464,965,429,0.5414,0.8746,0.9246,0.8989
static nativecalls closure_compiler wala npm_cg acg,1243,779,279,244,464,965,429,0.5414,0.8746,0.9246,0.8989
static nativecalls closure_compiler wala tajs,1243,779,329,287,464,915,422,0.5704,0.8723,0.9095,0.8905
static nativecalls closure_compiler wala tajs acg,1243,779,279,244,464,965,429,0.5414,0.8746,0.9246,0.8989
static nativecalls closure_compiler wala acg,1243,779,279,244,464,965,429,0.5414,0.8746,0.9246,0.8989
static nativecalls closure_compiler npm_cg,1243,779,329,287,464,915,422,0.5704,0.8723,0.9095,0.8905
static nativecalls closure_compiler npm_cg tajs,1243,779,329,287,464,915,422,0.5704,0.8723,0.9095,0.8905
static nativecalls closure_compiler npm_cg tajs acg,1243,779,279,244,464,965,429,0.5414,0.8746,0.9246,0.8989
static nativecalls closure_compiler npm_cg acg,1243,779,279,244,464,965,429,0.5414,0.8746,0.9246,0.8989
static nativecalls closure_compiler tajs,1243,779,329,287,464,915,422,0.5704,0.8723,0.9095,0.8905
static nativecalls closure_compiler tajs acg,1243,779,279,244,464,965,429,0.5414,0.8746,0.9246,0.8989
static nativecalls closure_compiler acg,1243,779,279,244,464,965,429,0.5414,0.8746,0.9246,0.8989
static nativecalls wala,1243,779,422,326,464,821,368,0.5583,0.7725,0.7931,0.7827
static nativecalls wala npm_cg,1243,779,422,326,464,821,368,0.5583,0.7725,0.7931,0.7827
static nativecalls wala npm_cg tajs,1243,779,422,326,464,821,368,0.5583,0.7725,0.7931,0.7827
static nativecalls wala npm_cg tajs acg,1243,779,318,273,464,925,419,0.5567,0.8585,0.9030,0.8802
static nativecalls wala npm_cg acg,1243,779,318,273,464,925,419,0.5567,0.8585,0.9030,0.8802
static nativecalls wala tajs,1243,779,422,326,464,821,368,0.5583,0.7725,0.7931,0.7827
static nativecalls wala tajs acg,1243,779,318,273,464,925,419,0.5567,0.8585,0.9030,0.8802
static nativecalls wala acg,1243,779,318,273,464,925,419,0.5567,0.8585,0.9030,0.8802
static nativecalls npm_cg,1243,779,422,326,464,821,368,0.5583,0.7725,0.7931,0.7827
static nativecalls npm_cg tajs,1243,779,422,326,464,821,368,0.5583,0.7725,0.7931,0.7827
static nativecalls npm_cg tajs acg,1243,779,318,273,464,925,419,0.5567,0.8585,0.9030,0.8802
static nativecalls npm_cg acg,1243,779,318,273,464,925,419,0.5567,0.8585,0.9030,0.8802
static nativecalls tajs,1243,779,422,326,464,821,368,0.5583,0.7725,0.7931,0.7827
static nativecalls tajs acg,1243,779,318,273,464,925,419,0.5567,0.8585,0.9030,0.8802
static nativecalls acg,1243,779,318,273,464,925,419,0.5567,0.8585,0.9030,0.8802
static closure_compiler,1243,779,338,293,464,906,419,0.5728,0.8669,0.9030,0.8846
static closure_compiler wala,1243,779,338,293,464,906,419,0.5728,0.8669,0.9030,0.8846
static closure_compiler wala npm_cg,1243,779,338,293,464,906,419,0.5728,0.8669,0.9030,0.8846
static closure_compiler wala npm_cg tajs,1243,779,338,293,464,906,419,0.5728,0.8669,0.9030,0.8846
static closure_compiler wala npm_cg tajs acg,1243,779,289,251,464,955,426,0.5447,0.8685,0.9181,0.8926
static closure_compiler wala npm_cg acg,1243,779,289,251,464,955,426,0.5447,0.8685,0.9181,0.8926
static closure_compiler wala tajs,1243,779,338,293,464,906,419,0.5728,0.8669,0.9030,0.8846
static closure_compiler wala tajs acg,1243,779,289,251,464,955,426,0.5447,0.8685,0.9181,0.8926
static closure_compiler wala acg,1243,779,289,251,464,955,426,0.5447,0.8685,0.9181,0.8926
static closure_compiler npm_cg,1243,779,338,293,464,906,419,0.5728,0.8669,0.9030,0.8846
static closure_compiler npm_cg tajs,1243,779,338,293,464,906,419,0.5728,0.8669,0.9030,0.8846
static closure_compiler npm_cg tajs acg,1243,779,289,251,464,955,426,0.5447,0.8685,0.9181,0.8926
static closure_compiler npm_cg acg,1243,779,289,251,464,955,426,0.5447,0.8685,0.9181,0.8926
static closure_compiler tajs,1243,779,338,293,464,906,419,0.5728,0.8669,0.9030,0.8846
static closure_compiler tajs acg,1243,779,289,251,464,955,426,0.5447,0.8685,0.9181,0.8926
static closure_compiler acg,1243,779,289,251,464,955,426,0.5447,0.8685,0.9181,0.8926
static wala,1243,779,431,332,464,812,365,0.5607,0.7703,0.7866,0.7784
