Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,1105,431,1035,413,674,70,52,0.42081447963800905354,0.39903381642512075755,0.95823665893271459115,0.56343792633015010729
static nativecalls,1105,431,1035,413,674,70,52,0.42081447963800905354,0.39903381642512075755,0.95823665893271459115,0.56343792633015010729
static nativecalls dynamic,1105,431,546,413,674,559,541,0.86334841628959280158,0.75641025641025638748,0.95823665893271459115,0.84544524053224157090
static nativecalls dynamic closure_compiler,1105,431,546,413,674,559,541,0.86334841628959280158,0.75641025641025638748,0.95823665893271459115,0.84544524053224157090
static nativecalls dynamic closure_compiler npm_cg,1105,431,461,350,674,644,563,0.82624434389140266610,0.75921908893709322275,0.81206496519721582672,0.78475336322869959638
static nativecalls dynamic closure_compiler npm_cg tajs,1105,431,461,350,674,644,563,0.82624434389140266610,0.75921908893709322275,0.81206496519721582672,0.78475336322869959638
static nativecalls dynamic closure_compiler npm_cg tajs acg,1105,431,218,177,674,887,633,0.73303167420814474564,0.81192660550458717328,0.41067285382830626128,0.54545454545454541417
static nativecalls dynamic closure_compiler npm_cg acg,1105,431,218,177,674,887,633,0.73303167420814474564,0.81192660550458717328,0.41067285382830626128,0.54545454545454541417
static nativecalls dynamic closure_compiler tajs,1105,431,546,413,674,559,541,0.86334841628959280158,0.75641025641025638748,0.95823665893271459115,0.84544524053224157090
static nativecalls dynamic closure_compiler tajs acg,1105,431,241,191,674,864,624,0.73755656108597289489,0.79253112033195016739,0.44315545243619491877,0.56845238095238093123
static nativecalls dynamic closure_compiler acg,1105,431,241,191,674,864,624,0.73755656108597289489,0.79253112033195016739,0.44315545243619491877,0.56845238095238093123
static nativecalls dynamic npm_cg,1105,431,461,350,674,644,563,0.82624434389140266610,0.75921908893709322275,0.81206496519721582672,0.78475336322869959638
static nativecalls dynamic npm_cg tajs,1105,431,461,350,674,644,563,0.82624434389140266610,0.75921908893709322275,0.81206496519721582672,0.78475336322869959638
static nativecalls dynamic npm_cg tajs acg,1105,431,218,177,674,887,633,0.73303167420814474564,0.81192660550458717328,0.41067285382830626128,0.54545454545454541417
static nativecalls dynamic npm_cg acg,1105,431,218,177,674,887,633,0.73303167420814474564,0.81192660550458717328,0.41067285382830626128,0.54545454545454541417
static nativecalls dynamic tajs,1105,431,546,413,674,559,541,0.86334841628959280158,0.75641025641025638748,0.95823665893271459115,0.84544524053224157090
static nativecalls dynamic tajs acg,1105,431,241,191,674,864,624,0.73755656108597289489,0.79253112033195016739,0.44315545243619491877,0.56845238095238093123
static nativecalls dynamic acg,1105,431,241,191,674,864,624,0.73755656108597289489,0.79253112033195016739,0.44315545243619491877,0.56845238095238093123
static nativecalls closure_compiler,1105,431,1035,413,674,70,52,0.42081447963800905354,0.39903381642512075755,0.95823665893271459115,0.56343792633015010729
static nativecalls closure_compiler npm_cg,1105,431,863,350,674,242,161,0.46244343891402717173,0.40556199304750867318,0.81206496519721582672,0.54095826893353937681
static nativecalls closure_compiler npm_cg tajs,1105,431,863,350,674,242,161,0.46244343891402717173,0.40556199304750867318,0.81206496519721582672,0.54095826893353937681
static nativecalls closure_compiler npm_cg tajs acg,1105,431,444,177,674,661,407,0.52850678733031675183,0.39864864864864862914,0.41067285382830626128,0.40457142857142852632
static nativecalls closure_compiler npm_cg acg,1105,431,444,177,674,661,407,0.52850678733031675183,0.39864864864864862914,0.41067285382830626128,0.40457142857142852632
static nativecalls closure_compiler tajs,1105,431,1035,413,674,70,52,0.42081447963800905354,0.39903381642512075755,0.95823665893271459115,0.56343792633015010729
static nativecalls closure_compiler tajs acg,1105,431,487,191,674,618,378,0.51493212669683252614,0.39219712525667349556,0.44315545243619491877,0.41612200435729845838
static nativecalls closure_compiler acg,1105,431,487,191,674,618,378,0.51493212669683252614,0.39219712525667349556,0.44315545243619491877,0.41612200435729845838
