Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,80,11,37,7,69,43,39,0.57499999999999995559,0.18918918918918919969,0.63636363636363635354,0.29166666666666668517
static nativecalls,80,11,37,7,69,43,39,0.57499999999999995559,0.18918918918918919969,0.63636363636363635354,0.29166666666666668517
static nativecalls dynamic,80,11,33,7,69,47,43,0.62500000000000000000,0.21212121212121212710,0.63636363636363635354,0.31818181818181817677
static nativecalls dynamic closure_compiler,80,11,33,7,69,47,43,0.62500000000000000000,0.21212121212121212710,0.63636363636363635354,0.31818181818181817677
static nativecalls dynamic closure_compiler npm_cg,80,11,29,7,69,51,47,0.67500000000000004441,0.24137931034482759673,0.63636363636363635354,0.34999999999999997780
static nativecalls dynamic closure_compiler npm_cg tajs,80,11,29,7,69,51,47,0.67500000000000004441,0.24137931034482759673,0.63636363636363635354,0.34999999999999997780
static nativecalls dynamic closure_compiler npm_cg tajs acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static nativecalls dynamic closure_compiler npm_cg acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static nativecalls dynamic closure_compiler tajs,80,11,33,7,69,47,43,0.62500000000000000000,0.21212121212121212710,0.63636363636363635354,0.31818181818181817677
static nativecalls dynamic closure_compiler tajs acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static nativecalls dynamic closure_compiler acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static nativecalls dynamic npm_cg,80,11,29,7,69,51,47,0.67500000000000004441,0.24137931034482759673,0.63636363636363635354,0.34999999999999997780
static nativecalls dynamic npm_cg tajs,80,11,29,7,69,51,47,0.67500000000000004441,0.24137931034482759673,0.63636363636363635354,0.34999999999999997780
static nativecalls dynamic npm_cg tajs acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static nativecalls dynamic npm_cg acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static nativecalls dynamic tajs,80,11,33,7,69,47,43,0.62500000000000000000,0.21212121212121212710,0.63636363636363635354,0.31818181818181817677
static nativecalls dynamic tajs acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static nativecalls dynamic acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static nativecalls closure_compiler,80,11,37,7,69,43,39,0.57499999999999995559,0.18918918918918919969,0.63636363636363635354,0.29166666666666668517
static nativecalls closure_compiler npm_cg,80,11,32,7,69,48,44,0.63749999999999995559,0.21875000000000000000,0.63636363636363635354,0.32558139534883717703
static nativecalls closure_compiler npm_cg tajs,80,11,32,7,69,48,44,0.63749999999999995559,0.21875000000000000000,0.63636363636363635354,0.32558139534883717703
static nativecalls closure_compiler npm_cg tajs acg,80,11,26,7,69,54,50,0.71250000000000002220,0.26923076923076921796,0.63636363636363635354,0.37837837837837834387
static nativecalls closure_compiler npm_cg acg,80,11,26,7,69,54,50,0.71250000000000002220,0.26923076923076921796,0.63636363636363635354,0.37837837837837834387
static nativecalls closure_compiler tajs,80,11,37,7,69,43,39,0.57499999999999995559,0.18918918918918919969,0.63636363636363635354,0.29166666666666668517
static nativecalls closure_compiler tajs acg,80,11,26,7,69,54,50,0.71250000000000002220,0.26923076923076921796,0.63636363636363635354,0.37837837837837834387
static nativecalls closure_compiler acg,80,11,26,7,69,54,50,0.71250000000000002220,0.26923076923076921796,0.63636363636363635354,0.37837837837837834387
static nativecalls npm_cg,80,11,32,7,69,48,44,0.63749999999999995559,0.21875000000000000000,0.63636363636363635354,0.32558139534883717703
static nativecalls npm_cg tajs,80,11,32,7,69,48,44,0.63749999999999995559,0.21875000000000000000,0.63636363636363635354,0.32558139534883717703
static nativecalls npm_cg tajs acg,80,11,26,7,69,54,50,0.71250000000000002220,0.26923076923076921796,0.63636363636363635354,0.37837837837837834387
static nativecalls npm_cg acg,80,11,26,7,69,54,50,0.71250000000000002220,0.26923076923076921796,0.63636363636363635354,0.37837837837837834387
static nativecalls tajs,80,11,37,7,69,43,39,0.57499999999999995559,0.18918918918918919969,0.63636363636363635354,0.29166666666666668517
static nativecalls tajs acg,80,11,26,7,69,54,50,0.71250000000000002220,0.26923076923076921796,0.63636363636363635354,0.37837837837837834387
static nativecalls acg,80,11,26,7,69,54,50,0.71250000000000002220,0.26923076923076921796,0.63636363636363635354,0.37837837837837834387
static dynamic,80,11,33,7,69,47,43,0.62500000000000000000,0.21212121212121212710,0.63636363636363635354,0.31818181818181817677
static dynamic closure_compiler,80,11,33,7,69,47,43,0.62500000000000000000,0.21212121212121212710,0.63636363636363635354,0.31818181818181817677
static dynamic closure_compiler npm_cg,80,11,29,7,69,51,47,0.67500000000000004441,0.24137931034482759673,0.63636363636363635354,0.34999999999999997780
static dynamic closure_compiler npm_cg tajs,80,11,29,7,69,51,47,0.67500000000000004441,0.24137931034482759673,0.63636363636363635354,0.34999999999999997780
static dynamic closure_compiler npm_cg tajs acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static dynamic closure_compiler npm_cg acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static dynamic closure_compiler tajs,80,11,33,7,69,47,43,0.62500000000000000000,0.21212121212121212710,0.63636363636363635354,0.31818181818181817677
static dynamic closure_compiler tajs acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static dynamic closure_compiler acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static dynamic npm_cg,80,11,29,7,69,51,47,0.67500000000000004441,0.24137931034482759673,0.63636363636363635354,0.34999999999999997780
static dynamic npm_cg tajs,80,11,29,7,69,51,47,0.67500000000000004441,0.24137931034482759673,0.63636363636363635354,0.34999999999999997780
static dynamic npm_cg tajs acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
static dynamic npm_cg acg,80,11,23,7,69,57,53,0.75000000000000000000,0.30434782608695654105,0.63636363636363635354,0.41176470588235297710
