Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,131,33,106,32,98,25,24,0.42748091603053434140,0.30188679245283017716,0.96969696969696972388,0.46043165467625901677
static nativecalls,131,33,106,32,98,25,24,0.42748091603053434140,0.30188679245283017716,0.96969696969696972388,0.46043165467625901677
static nativecalls dynamic,131,33,80,32,98,51,50,0.62595419847328248597,0.40000000000000002220,0.96969696969696972388,0.56637168141592930670
static nativecalls dynamic closure_compiler,131,33,80,32,98,51,50,0.62595419847328248597,0.40000000000000002220,0.96969696969696972388,0.56637168141592930670
static nativecalls dynamic closure_compiler npm_cg,131,33,79,32,98,52,51,0.63358778625954192965,0.40506329113924050001,0.96969696969696972388,0.57142857142857139685
static nativecalls dynamic closure_compiler npm_cg tajs,131,33,78,32,98,53,52,0.64122137404580148434,0.41025641025641024218,0.96969696969696972388,0.57657657657657657158
static nativecalls dynamic closure_compiler npm_cg tajs acg,131,33,49,25,98,82,74,0.75572519083969469378,0.51020408163265307255,0.75757575757575756903,0.60975609756097559622
static nativecalls dynamic closure_compiler npm_cg acg,131,33,50,25,98,81,73,0.74809160305343513908,0.50000000000000000000,0.75757575757575756903,0.60240963855421691964
static nativecalls dynamic closure_compiler tajs,131,33,78,32,98,53,52,0.64122137404580148434,0.41025641025641024218,0.96969696969696972388,0.57657657657657657158
static nativecalls dynamic closure_compiler tajs acg,131,33,49,25,98,82,74,0.75572519083969469378,0.51020408163265307255,0.75757575757575756903,0.60975609756097559622
static nativecalls dynamic closure_compiler acg,131,33,50,25,98,81,73,0.74809160305343513908,0.50000000000000000000,0.75757575757575756903,0.60240963855421691964
static nativecalls dynamic npm_cg,131,33,79,32,98,52,51,0.63358778625954192965,0.40506329113924050001,0.96969696969696972388,0.57142857142857139685
static nativecalls dynamic npm_cg tajs,131,33,78,32,98,53,52,0.64122137404580148434,0.41025641025641024218,0.96969696969696972388,0.57657657657657657158
static nativecalls dynamic npm_cg tajs acg,131,33,49,25,98,82,74,0.75572519083969469378,0.51020408163265307255,0.75757575757575756903,0.60975609756097559622
